nom sede IPS,nit IPS ,naturaleza,num digito_verificion,num nivel atencion,nom grupo capacidad ,nom descripcion capacidad ,num cantidad capacidad instalada
E.S.E HOSPITAL UNIVERSITARIO ERASMO MEOZ,800014918,Pública,9,3,SALAS,Quirófano,9
CLINICA MEDICAL DUARTE,900470642,Privada,9,,CAMAS,Cuidado Intensivo Neonatal,9
CLINICA Y DROGUERIA NUESTRA SEÑORA DE TORCOROMA SEDE 1,890506459,Privada,9,,CAMAS,Adultos,9
CLINICA Y DROGUERIA NUESTRA SEÑORA DE TORCOROMA SEDE 1,890506459,Privada,9,,CAMAS,Obstetricia,9
ESE HOSPITAL SAGRADO CORAZON DE JESUS,846000471,Pública,5,1,CAMAS,Adultos,9
ESE HOSPITAL SAN VICENTE DE PAUL,890000671,Pública,1,1,CAMAS,Adultos,9
EMPRESA SOCIAL DEL ESTADO HOSPITAL MENTAL DE FILAN,890000992,Pública,0,2,CAMAS,Farmacodependencia,9
EMPRESA SOCIAL DEL ESTADO HOSPITAL MENTAL DE FILAN,890000992,Pública,0,2,CAMAS,Institución Paciente Crónico,9
SALUS GLOBAL PARTNERS SAI,900268120,Privada,1,,CAMAS,Obstetricia,9
ESE HOSPITAL INTEGRADO SAN BERNARDO,890205456,Pública,5,1,CAMAS,Pediátrica,9
SALUD VITAL DE COLOMBIA IPS S.A.S BARRANCABERMEJA,830124110,Privada,6,,CAMAS,Cuidado Intensivo Adulto,9
SERVICLINICOS DROMEDICA S.A.,900073081,Privada,4,,CAMAS,Cuidado Intensivo Adulto,9
IPS CLÍNICA GESTIONARBIENESTAR,900101736,Privada,0,,CAMAS,Cuidado Intensivo Adulto,9
CLINICA ESIMED CAÑAVERAL,800215908,Privada,8,,CAMAS,Pediátrica,9
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE FLORIDABLANCA,890202024,Pública,3,2,CAMAS,Obstetricia,9
GUACARI IPS INDIGENA S.A.S - SAN ONOFRE,900060004,Privada,0,,CAMAS,Adultos,9
OFTALMOLOGOS ASOCIADOS DE LA COSTA S.A.S,823002800,Privada,0,,CAMAS,Cuidado Intensivo Adulto,9
CLINICA LAS PEÑITAS SEDE HOSPITALARIA,892200273,Privada,9,,CAMAS,Pediátrica,9
CLINICA PEDIATRICA NIÑO JESUS LIMITADA,900164946,Privada,0,,CAMAS,Cuidado Intensivo Neonatal,9
CLINICA PEDIATRICA NIÑO JESUS LIMITADA,900164946,Privada,0,,CAMAS,Cuidado Intensivo Pediátrico,9
HOSPITAL SAN AGUSTIN EMPRESA SOCIAL DEL ESTADO,800155000,Pública,8,1,CAMAS,Adultos,9
RECUPERAR S.A. IPS - 3,805026771,Privada,3,,CAMAS,Cuidado Intensivo Adulto,9
Clinica Esimed Cali Sur,800215908,Privada,8,,CAMAS,Cuidado Intensivo Adulto,9
CLINICA FARALLONES S.A.,800212422,Privada,7,,CAMAS,Cuidado Intensivo Neonatal,9
E.S.E. HOSPITAL SAN RAFAEL EMPRESA SOCIAL DEL ESTADO,891380103,Pública,2,1,CAMAS,Adultos,9
UCI NUESTRA SEÑORA DE FATIMA S.A.S,900596827,Privada,6,,CAMAS,Cuidado Intensivo Adulto,9
E.S.E. HOSPITAL PILOTO JAMUNDI EMPRESA SOCIAL DEL ESTADO,890306950,Pública,6,1,CAMAS,Pediátrica,9
UCI DUMIAN MEDICAL PALMIRA,805027743,Privada,1,,CAMAS,Cuidado Intensivo Adulto,9
E.S.E HOSPITAL EL CARMEN,890982101,Pública,8,1,CAMAS,Adultos,8
ESPECIALIDADES MEDICAS METROPOLITANAS S.A,900226451,Privada,4,,CAMAS,Cuidado Intensivo Adulto,8
UNIDAD MATERNO INFANTIL FUNDACION SOMA,900124689,Privada,1,,CAMAS,Cuidado Intensivo Neonatal,8
UNIDAD MATERNO INFANTIL FUNDACION SOMA,900124689,Privada,1,,CAMAS,Cuidado básico neonatal,8
E.S.E HOSPITAL LA MERCED DE CIUDAD BOLIVAR,890907241,Pública,1,2,CAMAS,Pediátrica,8
E.S.E HOSPITAL LA MERCED DE CIUDAD BOLIVAR,890907241,Pública,1,2,CAMAS,Psiquiatría,8
E.S.E. HOSPITLA NUESTRA SEÑORA DEL CARMEN,800138311,Pública,1,1,CAMAS,Obstetricia,8
E.S.E. HOSPITAL MANUEL URIBE ANGEL,890906347,Pública,9,3,CAMAS,Cuidado básico neonatal,8
CLINICA ANTIOQUIA S.A.,800190884,Privada,1,,CAMAS,Cuidado Intermedio Adulto,8
FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA,890981374,Privada,7,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA DE OFTALMOLOGIA SANDIEGO S.A,800051998,Privada,5,,SALAS,Quirófano,8
CLINICA URGENCIAS PEDIATRICAS S.A. URPEDIAN,800037256,Privada,0,,CAMAS,Pediátrica,8
CLINICA EL ROSARIO SEDE CENTRO,890905843,Privada,6,,SALAS,Quirófano,8
SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA,890903777,Privada,9,,CAMAS,Cuidado básico neonatal,8
CLINICA CARDIO VID,811046900,Privada,4,,CAMAS,Cuidado Intermedio Pediátrico,8
"HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",890904646,Pública,7,3,SALAS,Quirófano,8
FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,890900518,Privada,4,,CAMAS,Psiquiatría,8
UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ,800058016,Pública,1,2,CAMAS,Obstetricia,8
UNIDAD HOSPITALARIA NUEVO OCCIDENTE,800058016,Pública,1,2,CAMAS,Pediátrica,8
CLINICA DEL PRADO CIUDAD DEL RIO,890938774,Privada,8,,CAMAS,Cuidado Intermedio Adulto,8
CLINICA CENTRAL FUNDADORES,900038926,Privada,4,,CAMAS,Cuidado Intermedio Adulto,8
Corporación Hospital Infantil Concejo de Medellín,900625317,Privada,7,,CAMAS,Cuidado Intermedio Pediátrico,8
E.S.E HOSPITAL SAN JUAN DE DIOS ANTIOQUIA,890982264,Pública,1,2,CAMAS,Obstetricia,8
ESE HOSPITAL IVAN RESTREPO GOMEZ,890980971,Pública,1,1,CAMAS,Pediátrica,8
HOSPITAL SAN VICENTE ESE,800218979,Pública,4,2,CAMAS,Pediátrica,8
HOSPITAL SAN VICENTE ESE,800218979,Pública,4,2,CAMAS,Obstetricia,8
HOSPITAL SAN FRANCISCO DE FORTUL,900034131,Pública,8,1,CAMAS,Adultos,8
HOSPITAL DEL SARARE ESE,800231215,Pública,1,2,CAMAS,Cuidado Intermedio Adulto,8
ORGANIZACIÓN CLINICA GENERAL DEL NORTE S.A,890102768,Privada,5,,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA DE FRACTURAS CENTRO DE ORTOPEDIA Y TRAUMATOLOGIA S.A,890110705,Privada,5,,CAMAS,Adultos,8
IPS CLINICA DE LA COSTA LTDA,800129856,Privada,5,,CAMAS,Cuidado Intermedio Neonatal,8
IPS CLINICA DE LA COSTA LTDA,800129856,Privada,5,,CAMAS,Cuidado Intensivo Pediátrico,8
"IPS SERVICIOS MEDICOS INTEGRALES DEL NORTE ""SEMIN""",802007056,Privada,3,,CAMAS,Obstetricia,8
CLINICA REINA CATALINA S.A.S.,800179966,Privada,0,,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA LA ASUNCION,890102140,Privada,0,,CAMAS,Cuidado Intensivo Neonatal,8
CLINICAS ATENAS LTDA IPS,802013835,Privada,9,,CAMAS,Cuidado Intensivo Adulto,8
CENTRO CARDIOVASCULAR CLINICA ALTOS DE SAN VICENTE,802000774,Privada,1,,CAMAS,Cuidado Intermedio Adulto,8
IPS CLINICA GENERAL EL RECREO LTDA,800088346,Privada,3,,CAMAS,Adultos,8
IPS CLINICA DEL CARIBE,890100275,Privada,7,,CAMAS,Pediátrica,8
INSTITUTO DE TRANSPLANTE DE MEDULA OSEA DE LA COSTA IPS S.A.S,802014132,Privada,4,,CAMAS,Adultos,8
DISAMA MEDIC S.A.S.,900174577,Privada,9,,CAMAS,Cuidado Intermedio Adulto,8
Vidacoop Alta Complejidad IPS,802018505,Privada,6,,CAMAS,Pediátrica,8
Vidacoop Alta Complejidad IPS,802018505,Privada,6,,CAMAS,Cuidado Intensivo Neonatal,8
Vidacoop Alta Complejidad IPS,802018505,Privada,6,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA SAN MARTIN BARRANQUILLA LTDA,900164285,Privada,0,,CAMAS,Cuidado Intensivo Adulto,8
CENTRO MEDICO COGNITIVO E INVESTIGACION HOSPITALIZACION,900479894,Privada,9,,CAMAS,Farmacodependencia,8
CLINICA GENERAL SAN DIEGO,900600256,Privada,8,,CAMAS,Cuidado Intermedio Adulto,8
I.P.S LEVPHARMA DE COLOMBIA S.A.S,900567891,Privada,4,,CAMAS,Psiquiatría,8
I.P.S LEVPHARMA DE COLOMBIA S.A.S,900567891,Privada,4,,CAMAS,Farmacodependencia,8
CLÍNICA MISERICORDIA,900465319,Privada,4,,CAMAS,Cuidado Intensivo Pediátrico,8
CLÍNICA MISERICORDIA,900465319,Privada,4,,SALAS,Quirófano,8
CENTRO HOSPITALARIO REGIONAL SANTA MONICA SAS,901049966,Privada,1,,CAMAS,Obstetricia,8
CENTRO HOSPITALARIO REGIONAL SANTA MONICA SAS,901049966,Privada,1,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA SAN JOSE DE LURUACO,900264327,Privada,0,,CAMAS,Pediátrica,8
UNION TEMPORAL UCI DE LA SABANA,900016636,Privada,9,,CAMAS,Cuidado Intermedio Adulto,8
INVERSIONES ISOMEDIC IPS LTDA,802009743,Privada,4,,CAMAS,Adultos,8
INVERSIONES ISOMEDIC IPS LTDA,802009743,Privada,4,,CAMAS,Cuidado Intensivo Pediátrico,8
INVERSIONES ISOMEDIC IPS LTDA,802009743,Privada,4,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA PORVENIR LIMITADA,802019573,Privada,1,,CAMAS,Pediátrica,8
CLINICA PORVENIR LIMITADA,802019573,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,8
CONSALUD DEL CARIBE IPS LIMITADA,802020736,Privada,7,,CAMAS,Adultos,8
CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,8,,CAMAS,Cuidado Intermedio Adulto,8
LA FONT CLÍNICA DE CIRUGÍA ESTETICA,860073087,Privada,3,,CAMAS,Adultos,8
Centro de Atención en Salud Cafam Clínica,860013570,Privada,3,,CAMAS,Cuidado Intensivo Adulto,8
FUNDACION SANTA FE DE BOGOTA,860037950,Privada,2,,CAMAS,Obstetricia,8
HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,9,,CAMAS,Cuidado Intensivo Pediátrico,8
FUNDACION ABOOD SHAIO,860006656,Privada,9,,SALAS,Quirófano,8
CLINICA PARTENON,800085486,Privada,2,,CAMAS,Cuidado Intermedio Adulto,8
CLINICA INFANTIL COLSUBSIDIO,860007336,Privada,1,,CAMAS,Adultos,8
INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,7,,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES,800201496,Privada,4,,CAMAS,Adultos,8
Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,4,,CAMAS,Cuidado Intensivo Neonatal,8
CENTRO POLICLINICO DEL OLAYA,800149453,Privada,6,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA REINA SOFIA,800149384,Privada,6,,SALAS,Quirófano,8
CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,6,,CAMAS,Cuidado Intermedio Adulto,8
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,5,3,SALAS,Quirófano,8
CLINICA DE MARLY,860002541,Privada,2,,CAMAS,Pediátrica,8
CLINICA DEL OCCIDENTE S.A.,860090566,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,5,,CAMAS,Cuidado Intermedio Adulto,8
HOSPITAL MILITAR CENTRAL,830040256,Pública,0,3,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA GENERAL DE LA 100 SAS Y PODRA ANUNCIARSE CON LAS SIGLAS CLINI100 SAS,900328772,Privada,1,,CAMAS,Cuidado Intensivo Adulto,8
MIOCARDIO S.A.S CASTELLANA,900328323,Privada,8,,CAMAS,Cuidado Intermedio Adulto,8
CLINICA LOS NOGALES SAS,900291018,Privada,4,,CAMAS,Pediátrica,8
UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,7,3,CAMAS,Cuidado Intermedio Pediátrico,8
UNIDAD DE SERVICIOS DE SALUD ALTAMIRA,900959051,Pública,7,3,CAMAS,Adultos,8
UNIDAD DE SERVICIOS DE SALUD CHIRCALES,900959051,Pública,7,3,CAMAS,Adultos,8
Clinica interplastica Sas,805002321,Privada,9,,SALAS,Quirófano,3
UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,7,3,CAMAS,Cuidado Intermedio Neonatal,8
UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,7,3,CAMAS,Cuidado Intensivo Neonatal,8
UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,7,3,CAMAS,Cuidado Intensivo Adulto,8
UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,4,3,SALAS,Quirófano,8
UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,9,3,CAMAS,Cuidado Intensivo Pediátrico,8
UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,9,3,SALAS,Quirófano,8
UNIDAD DE SERVICIOS DE SALUD USME,900958564,Pública,9,3,CAMAS,Adultos,8
UNIDAD DE SERVICIOS DE SALUD SANTA LIBRADA I,900958564,Pública,9,3,CAMAS,Pediátrica,8
Unidad de Servicios de Salud Pablo VI Bosa,900959048,Pública,4,3,CAMAS,Obstetricia,8
CLÍNICA SANTA TERESITA DE NORMANDIA,900284591,Privada,4,,CAMAS,Adultos,8
E.S.E. HOSPITAL LOCAL SAN JOSE DE ACHI,806007813,Pública,7,1,CAMAS,Adultos,8
E.S.E. HOSPITAL JOSE RUDECINDO LOPEZ PARODI,806006753,Pública,9,1,CAMAS,Adultos,8
INTENSIVISTAS MRC IPS SA SEDE SAN FERNANDO,900036695,Privada,9,,CAMAS,Cuidado Intermedio Neonatal,8
INTENSIVISTAS MRC IPS SA SEDE SAN FERNANDO,900036695,Privada,9,,CAMAS,Cuidado básico neonatal,8
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL CARIBE,900042103,Pública,5,3,CAMAS,Cuidado Intermedio Adulto,8
ESTRIOS SAS,806011261,Privada,7,,CAMAS,Cuidado Intermedio Adulto,8
CLINICA GENERAL DEL CARIBE S.A.,900233294,Privada,3,,CAMAS,Pediátrica,8
CLINICA GENERAL DEL CARIBE S.A.,900233294,Privada,3,,CAMAS,Obstetricia,8
CLINICA SOL DE LAS AMERICAS,900492937,Privada,0,,CAMAS,Pediátrica,8
cordesa obra social diocesana ips,890480363,Privada,6,,CAMAS,Adultos,8
ORGANIZACION CLINICA SANTA TERESA,900434078,Privada,1,,CAMAS,Adultos,8
ORGANIZACION CLINICA SANTA TERESA,900434078,Privada,1,,CAMAS,Obstetricia,8
ESE HOSPITAL LOCAL LA CANDELARIA,806008153,Pública,9,1,CAMAS,Adultos,8
E.S.E. HOSPITAL LOCAL DE SAN JUAN NEPOMUCENO,806006414,Pública,7,1,CAMAS,Adultos,8
CLINICA TUNDAMA S.A,891800023,Privada,5,,CAMAS,Pediátrica,8
HOSPITAL REGIONAL DE MONIQUIRA ESE,891800395,Pública,1,2,CAMAS,Pediátrica,8
CLINICA DE ESPECIALISTAS LTDA,891856372,Privada,1,,CAMAS,Obstetricia,8
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL TUNJA,891800231,Pública,0,3,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA POZO DONATO DE TUNJA SAS,900410792,Privada,9,,CAMAS,Cuidado Intensivo Adulto,8
IPS ESIMED TUNJA,800215908,Privada,8,,CAMAS,Obstetricia,8
UCI IPS CLINICA ROQUE ARMANDO LÓPEZ ÁLVAREZ E.U.,900198012,Privada,3,,CAMAS,Cuidado Intermedio Adulto,8
UCI IPS CLINICA ROQUE ARMANDO LÓPEZ ÁLVAREZ E.U.,900198012,Privada,3,,CAMAS,Cuidado Intensivo Adulto,8
HERMANAS DE LA CARIDAD DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN,890801160,Privada,7,,CAMAS,Cuidado Intensivo Adulto,8
HOSPITAL SAN JOSE,890801562,Pública,4,1,CAMAS,Adultos,8
HOSPITAL LOCAL CURILLO,900211477,Pública,1,1,CAMAS,Adultos,8
HOSPITAL DEPARTAMENTAL HOSPITAL MARIA INMACULADA ESE,891180098,Pública,5,2,CAMAS,Cuidado Intermedio Neonatal,8
UROCAQ E.U. IPS,828002098,Privada,4,,CAMAS,Adultos,8
CLINICA MEDILASER S.A. FLORENCIA,813001952,Privada,0,,CAMAS,Obstetricia,8
CLINICA MEDILASER S.A. FLORENCIA,813001952,Privada,0,,CAMAS,Cuidado básico neonatal,8
EMPRESA SOCIAL DEL ESTADO HOSPITAL DE TAURAMENA,844001287,Pública,3,1,CAMAS,Pediátrica,8
CLÍNICA MEDICENTER FICUBO SAS,900685235,Privada,8,,CAMAS,Adultos,8
CLINICA LA ESTANCIA S.A,817003166,Privada,1,,CAMAS,Pediátrica,8
CLINICA LA ESTANCIA S.A,817003166,Privada,1,,CAMAS,Cuidado básico neonatal,8
CLÍNICA SANTA GRACIA - DUMIAN MEDICAL S.A.S,805027743,Privada,1,,CAMAS,Cuidado Intensivo Neonatal,8
CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA,817000162,Pública,9,1,CAMAS,Adultos,8
HOSPITAL AGUSTIN CODAZZI E.S.E.,892300358,Pública,5,1,CAMAS,Pediátrica,8
HOSPITAL INMACULADA CONCEPCION ESE,892300179,Pública,3,1,CAMAS,Adultos,8
HOSPITAL OLAYA HERRERA,892300387,Pública,9,1,CAMAS,Adultos,8
COOPERSALUD IPS PAILITAS,900187021,Privada,2,,CAMAS,Adultos,8
CLINCA SANTA ISABEL L.D.,900008328,Privada,1,,CAMAS,Cuidado Intermedio Adulto,8
clinica buenos aires,824002277,Privada,1,,CAMAS,Cuidado Intensivo Neonatal,8
CLINICA DEL CESAR S.A.,892300979,Privada,9,,CAMAS,Cuidado Intensivo Neonatal,8
CLINICA VALLEDUPAR,892300708,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,8
ESE HEAD LA NEVADA,824000725,Pública,0,1,CAMAS,Adultos,8
CLINICA MEDICOS SA,824001041,Privada,6,,CAMAS,Cuidado básico neonatal,8
CLÍNICA MÉDICOS SEDE ALTA COMPLEJIDAD DEL CARIBE,824001041,Privada,6,,CAMAS,Obstetricia,8
CLÍNICA MÉDICOS SEDE ALTA COMPLEJIDAD DEL CARIBE,824001041,Privada,6,,CAMAS,Cuidado Intensivo Pediátrico,8
CLÍNICA MÉDICOS SEDE ALTA COMPLEJIDAD DEL CARIBE,824001041,Privada,6,,CAMAS,Unidad de Quemados Adulto,8
CLÍNICA MÉDICOS SEDE ALTA COMPLEJIDAD DEL CARIBE,824001041,Privada,6,,SALAS,Quirófano,8
INSTITUTO CARDIOVASCULAR DEL CESAR S.A,900016598,Privada,7,,CAMAS,Cuidado Intensivo Adulto,8
NUEVA CLINICA DE SANTO TOMAS S.A.S.,900879006,Privada,1,,CAMAS,Pediátrica,8
NUEVA CLINICA DE SANTO TOMAS S.A.S.,900879006,Privada,1,,CAMAS,Cuidado Intermedio Adulto,8
CENTRO MEDICO CUBIS LIMITADA BAHÍA SOLANO,818002571,Privada,0,,CAMAS,Adultos,8
"Cooperativa de Medicos Especialistas del Choco y Afines ""COOMESA""",800213755,Privada,9,,CAMAS,Adultos,8
ESE HOSPITAL SAN RAFAEL DE CHINU,800193912,Pública,1,1,CAMAS,Adultos,8
CUIDADOS INTENSIVOS NEONATAL DEL BAJO SINU LIMITADA,900054563,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,8
ESE HOSPITAL SAN JERONIMO DE MONTERIA,891079999,Pública,5,2,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA MATERNO INFANTIL CASA DEL NIÑO SEDE PRINCIPAL,812004935,Privada,5,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA MONTERIA S.A.,891001122,Privada,8,,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA CENTRAL O.H.L. LTDA,900082202,Privada,7,,CAMAS,Cuidado Intensivo Neonatal,8
AMRITZAR S.A.,900025914,Privada,1,,CAMAS,Cuidado Intermedio Pediátrico,8
Fundacion clinica del rio,900540156,Privada,1,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA ESIMED MONTERIA,800215908,Privada,8,,CAMAS,Adultos,8
CLINICA ESIMED MONTERIA,800215908,Privada,8,,CAMAS,Obstetricia,8
E.S.E. HOSPITAL SAN NICOLAS,891000736,Pública,5,1,CAMAS,Obstetricia,8
CINICA SAHAGUN IPS S.A,812000527,Privada,5,,CAMAS,Pediátrica,8
ESE HOSPITAL SAN JOSE DE TIERRALTA,812000317,Pública,5,1,CAMAS,Pediátrica,8
CENTRO MEDICO SAN LUIS CLINICA QUIRURGICA S.A.S,900218628,Privada,7,,CAMAS,Pediátrica,8
E.S.E. HOSPITAL SAN ANTONIO DE CHIA - (251750002001),899999156,Pública,1,1,CAMAS,Obstetricia,8
ESE HOSPITAL SAN MARTIN DE PORRES DE CHOCONTA,860024766,Pública,7,1,CAMAS,Obstetricia,8
CLÍNICA SAN RAFAEL DUMIAN GIRARDOT,805027743,Privada,1,,CAMAS,Cuidado Intermedio Adulto,8
E.S.E HOSPITAL SAN JOSE DE LA PALMA - (253940003401),899999165,Pública,6,1,CAMAS,Adultos,8
E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA,832000029,Pública,1,1,CAMAS,Adultos,8
HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,8
HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,1,,CAMAS,Cuidado Intensivo Neonatal,8
HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,1,,CAMAS,Cuidado básico neonatal,8
E.S.E. HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA - (258150002701),890680033,Pública,9,1,CAMAS,Pediátrica,8
ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,899999032,Pública,5,2,CAMAS,Cuidado básico neonatal,8
E.S.E. SAN VICENTE DE PAUL DE GARZON,891180026,Pública,5,2,CAMAS,Cuidado Intensivo Adulto,8
CLINICA MEDILASER S.A.,813001952,Privada,0,,CAMAS,Cuidado Intermedio Adulto,8
CLINICA DE FRACTURAS Y ORTOPEDIA LTDA,800110181,Privada,9,,CAMAS,Adultos,8
E.S.E. HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO DE NEIVA,891180268,Pública,0,3,CAMAS,Cuidado Intermedio Neonatal,8
CLINICA UROS S.A,813011577,Privada,4,,CAMAS,Cuidado básico neonatal,8
COVEN,900280825,Privada,4,,CAMAS,Cuidado Intensivo Adulto,8
ESE HOSPITAL SANTA TERESA DE JESUS DE AVILA,825001037,Pública,1,1,CAMAS,Adultos,8
GYO MEDICALIPS SAS SUCURSAL MAICAO,900386591,Privada,2,,CAMAS,Cuidado Intensivo Adulto,8
CLINICA CEDES LTDA,800193989,Privada,8,,CAMAS,Cuidado Intensivo Adulto,8
SOCIEDAD MEDICA CLINICA RIOHACHA SAS,892115096,Privada,8,,CAMAS,Pediátrica,8
SOCIEDAD MEDICA CLINICA RIOHACHA SAS,892115096,Privada,8,,CAMAS,Obstetricia,8
ANASHIWAYA,900177624,Pública,0,1,CAMAS,Adultos,8
CLINICA SOMEDA,825001800,Privada,3,,CAMAS,Cuidado básico neonatal,8
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,892115010,Pública,5,2,CAMAS,Pediátrica,8
JERUSALEM UNIDAD MENTAL,900384537,Privada,5,,CAMAS,Psiquiatría,8
UNIDAD MATERNO INFANTIL TALAPUIN S.A.S.,900492815,Privada,0,,CAMAS,Adultos,8
CLINICA GENERAL DE CIENAGA LTDA,819000413,Privada,1,,CAMAS,Adultos,8
CUIDADOS NEONATALES S.A.S,900609215,Privada,7,,CAMAS,Cuidado básico neonatal,8
ESE HOSPITAL SAN PEDRO,819001312,Pública,9,1,CAMAS,Adultos,8
ESE HOSPITAL LOCAL SABANAS DE SAN ANGEL,819003599,Pública,4,1,CAMAS,Adultos,8
COMPAÑÍA COLOMBIANA DE SALUD COLSALUD S.A.,819002176,Privada,8,,CAMAS,Cuidado Intensivo Pediátrico,8
SOCIEDAD MEDICA DE SANTA MARTA LTDA. CLINICA EL PRADO,891701664,Privada,1,,CAMAS,Obstetricia,8
HOSPITAL UNIVERSITARIO FERNANDO TROCONIS,891780185,Pública,2,3,CAMAS,Cuidado Agudo Mental,8
CENTROS HOSPITALARIOS DEL CARIBE S.A.S.,900520510,Privada,0,,CAMAS,Cuidado Intermedio Adulto,8
CENTROS HOSPITALARIOS DEL CARIBE SAS UNIDAD MATERNO INFANTIL,900520510,Privada,0,,CAMAS,Adultos,8
Hospital Departamental de Granada. Empresa Social del Estado,800037021,Pública,7,2,CAMAS,Cuidado Intensivo Adulto,8
CENTRO DE ATENCION PUERTO LLERAS,822006595,Pública,1,1,CAMAS,Adultos,8
HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO ESE,892000501,Pública,5,2,CAMAS,Cuidado Intermedio Adulto,8
HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO ESE,892000501,Pública,5,2,CAMAS,Cuidado Intensivo Adulto,8
CENTRO DE SALUD PORFIA,822002459,Pública,8,1,CAMAS,Adultos,8
CENTRO DE SALUD RECREO,822002459,Pública,8,1,CAMAS,Adultos,8
Clinica Esimed Llanos,800215908,Privada,8,,CAMAS,Obstetricia,8
E.S.E. HOSPITAL SAN ANTONIO DE BARBACOAS,891200445,Pública,5,1,CAMAS,Pediátrica,8
CENTRO HOSPITAL SAN LUIS E.S.E.,900153346,Pública,4,1,CAMAS,Adultos,8
E.S.E. HOSPITAL CIVIL DE IPIALES,800084362,Pública,3,2,CAMAS,Cuidado Intensivo Neonatal,8
SOCIEDAD LAS LAJAS S.A.S,837000974,Privada,5,,CAMAS,Pediátrica,8
"PROFESIONALES DE LA SALUD S.A. ""PROINSALUD S.A.""",800176807,Privada,4,,CAMAS,Obstetricia,8
UNIDAD CARDIOQUIRURGICA DE NARIÑO LTDA,814006248,Privada,1,,CAMAS,Cuidado Intensivo Adulto,8
HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,891200528,Pública,8,3,SALAS,Quirófano,8
HOSPITAL LOCAL CIVIL,900091143,Pública,9,1,CAMAS,Adultos,8
URCUNINASALUD LTDA-UNIDAD DE CUIDADOS INTENSIVOS NEONATALES,900174961,Privada,4,,CAMAS,Cuidado Intermedio Neonatal,8
Grupo Medinuclear,900442870,Privada,2,,CAMAS,Cuidado Intensivo Adulto,8
CIREN ABA,900632798,Privada,5,,SALAS,Procedimientos,8
