OBJECTID,Object_ID,Código de Habilitación,Código del Prestador,Nombre de la IPS,Dirección,Número Identificación Tributaria,Número de Fax,Clase de Prestador,Clase de Persona,Naturaleza Jurídica,Número de Teléfono,Correo Electrónico,coord_x,coord_y
1038,1038,110011747601,1100117476,ODONTO IMAGEN Clínica Odontológica integral Ltda,CARRERA 77 A# 64f-63,900138545,Sin Dato,Instituciones - IPS,Juridica,Privada,4887717-3162349066-3138503232,odontoclinicaintegral@hotmail.com - ahurtado70@yahoo.com,,
1042,1042,110011753601,1100117536,ACCION SALUD S.A. IPS,CRA 19A No. 84-73,900162712,Sin Dato,Instituciones - IPS,Juridica,Privada,2569144,calidad-accionsalud@accionplus.com,,
1045,1045,110011756301,1100117563,RADA CASSAB MEDICINA ESTETICA S.A.S,CLL 109 No. 18 C 17 CONSULTORIO 613,830509599,6202081,Instituciones - IPS,Juridica,Privada,6202081 - 3142748635,atencionusuarios@radacassab.com,,
1054,1054,110011014902,1100110149,ORALNET EU.,KRA 28 a N.51 58,830081417,(57)(1)3125541,Instituciones - IPS,Juridica,Privada,(57)(1)3481318,galerias@oralnet.co,,
1056,1056,110011764801,1100117648,SERVICIOS INTEGRADOS DE SALUD OCUPACIONAL SIS CONSULTORIAS LTDA,"CL 65 No.11-61 CS 101 - 201 (201 -1, 201- 3, 201- 4, 201- 5, 201- 6, 201- 7) 301",900151015,2490854,Instituciones - IPS,Juridica,Privada,2490854,sis.centromedico@yahoo.com,,
1057,1057,110011765801,1100117658,ODONTOLOGIA DE MARLON BECERRA SEDE SALITRE,AC 26 N° 68 C 61 - LCO 107,900127106,4273466,Instituciones - IPS,Juridica,Privada,4273466,brillantina.o@hotmail.com,,
1061,1061,110011769901,1100117699,ODONTOFAMILY FERIAS,"AK 70 N. 72 A 42 PISO 2, 3 Y 4",900160430,4904834,Instituciones - IPS,Juridica,Privada,3292090,Sin Dato,,
1062,1062,110011769902,1100117699,ODONTOFAMILY SANTA HELENITA,AC 72 # 76 88,900160430,2516221,Instituciones - IPS,Juridica,Privada,2248658,Sin Dato,,
1063,1063,110011769903,1100117699,ODONTOFAMILY FONTIBON,CALLE 17 A # 99 21,900160430,2670479,Instituciones - IPS,Juridica,Privada,2674093,Sin Dato,,
1069,1069,110010733524,1100107335,CAJA DE COMPENSACION FAMILIAR COMPENSAR / CONSULTORIO EMPRESARIAL No. 1 PROENFAR S.A.,KR 69 # 16 79 PI 2,860066942,Sin Dato,Instituciones - IPS,Juridica,Privada,57 1 4285088,andresbarragan@compensar.com,,
1078,1078,110011770806,1100117708,CITY DENT CLINICAS DENTALES DE COLOMBIA,AV. LA ESPERANZA No 69c-80,900170425,4160569,Instituciones - IPS,Juridica,Privada,7433880,yelopu24@hotmail.com,,
1082,1082,110011771501,1100117715,ACYS Apoyo Terapéutico Integral E.U.,Cll 45 B No. 24-39,900170659,3128478,Instituciones - IPS,Juridica,Privada,3128478,amarcreceryservir@yahoo.com,,
1085,1085,110010927106,1100109271,OPTICA SALUDCOOP CHAPINERO,AV CARACAS # 49 55 LC 4,830090640,Sin Dato,Instituciones - IPS,Juridica,Privada,6011631,oramirez@saludcoop.coop,,
1086,1086,110010621304,1100106213,ENFASO PROCEDIMIENTOS CLINICA COLOMBIA,AV 68 # 22 A 30 CS 815,800154867,Sin Dato,Instituciones - IPS,Juridica,Privada,6158100,enfaso@gmail.com,,
1090,1090,110011774402,1100117744,OPTICAS SBC LIMITADA CONSULTORIO,CALLE 53 No. 22-91,800102107,Sin Dato,Instituciones - IPS,Juridica,Privada,2126480,Sin Dato,,
1100,1100,110010449002,1100104490,IMAGENES DIAGNOSTICAS DEL COUNTRY,KR 16 A No. 82-37 PISO 1 Y 3,830070284,6559965,Instituciones - IPS,Juridica,Privada,6217200,resomagdecol@tacyresonanciadelcountry.com,,
1110,1110,110011241305,1100112413,MD DIAGNOSTICOS SAS,AK 20 # 85 A - 45,830128120,6915119,Instituciones - IPS,Juridica,Privada,6915119 - 6347233,mddiagnosticos@yahoo.es,,
1112,1112,110011784901,1100117849,DENT HOLDING S.A.S,Calle 82 No. 10 - 39 Local 201,900110162,7598731,Instituciones - IPS,Juridica,Privada,6347499,dentholding@gmail.com,,
1120,1120,110010733526,1100107335,CAJA DE COMPENSACION FAMILIAR / CONSULTORIO EMPRESARIAL SUPERINTENDENCIA DE SOCIEDADES,AC 26 No. 51-80,860066942,Sin Dato,Instituciones - IPS,Juridica,Privada,57 1 4285088,abarragan@compensar.com,,
1124,1124,110010845602,1100108456,HORUS GRUPO OFTALMOLOGICO S.A.,CRA 19B Nº 84-48,800127648,2362343,Instituciones - IPS,Juridica,Privada,6358100,admin@horusgo.com,,
1131,1131,110011796301,1100117963,STEVENSON CORTES CIRUGIA PLASTICA LTDA.,AUTOP NORTE # 106-30 CS 611-612,900144772,5239366,Instituciones - IPS,Juridica,Privada,5239365,contacto@stevensoncirugiaplastica.com,,
1133,1133,110010733527,1100107335,CAJA DE COMPENSACION FAMILIAR COMPENSAR SEDE CL 80,AC 80 # 69 K 27,860066942,Sin Dato,Instituciones - IPS,Juridica,Privada,57 1 4285088,abarragan@compensar.com,,
1135,1135,110011798301,1100117983,CLINICA ODONTOLOGICA S.E.A. CONSTRUCTORES DE SONRISAS LTDA.,KR 24 #. 63 D 70 (CS 201),900181705,2351388,Instituciones - IPS,Juridica,Privada,2492673,clinicasea@gmail.com,,
1136,1136,110011798801,1100117988,CENTRO DE DIAGNOSTICO DERMATOLOGICO SAS,AV 9 116 20 CS 718,900066283,6371299,Instituciones - IPS,Juridica,Privada,6378325,centrodiagnosticodermatologico@gmail.com,,
1137,1137,110011800601,1100118006,CORPOALEGRIA,Av kra 30 # 75-45,900138104,3290047,Instituciones - IPS,Juridica,Privada,3290047,contacto@corpoalegria.org,,
1138,1138,110011802201,1100118022,MEDICAMENTOS ESPECIALIZADOS S.A.,KR 49 # 94-75,805030765,571 - 7423162,Instituciones - IPS,Juridica,Privada,571 - 7423162,medex@medex.com.co,,
1144,1144,110011811401,1100118114,DR GUILLERMO VALDERRAMA SAS,TV 19 A # 98 12 CS 302,900175298,6164033,Instituciones - IPS,Juridica,Privada,6164033,CONVENIOS@DRGUILLERMOVALDERRAMA.COM,,
1149,1149,110011813901,1100118139,UNIDAD INTEGRAL DE ENDOCRINOLOGIA UNIENDO,"CRA.16A No 82-10 PISO 2, 3 y 4",830038185,6058771,Instituciones - IPS,Juridica,Privada,7957272 ext 112,administracion@investigacionuniendo.com,,
1152,1152,110011609002,1100116090,RADIOLOGICO ORAL CIUDAD SALITRE,AV EL DORADO # 68 C 61 LC 132,900098622,7021244,Instituciones - IPS,Juridica,Privada,7021244,angeecruz@hotmail.com,,
1154,1154,110011473502,1100114735,Fundación SIAM - Bogotá,CL 58 A # 35 A 12,900034438,2219283,Instituciones - IPS,Juridica,Privada,2219283,calidad@fundacionsiam.org,,
1155,1155,110010709108,1100107091,LABOIRATORIO DE INVESTIGACION HORMONAL LIH S.A. SEDE COUNTRY,CARRERA 16 NO. 84 A -09 CONSULTORIO 613,800075543,5313734,Instituciones - IPS,Juridica,Privada,5313734,administrador@lablih.net,,
1160,1160,110011831801,1100118318,FIGURELLA INTERNACIONAL DE COLOMBIA S.A.,CARRERA 11 No. 84 - 38 Casa 7,900114661,6171952,Instituciones - IPS,Juridica,Privada,6168477,admon@figurella.com.co,,
1163,1163,110010683410,1100106834,RTS AGENCIA CSR BOGOTA,CL 63 # 19 18 /20,805011262,Sin Dato,Instituciones - IPS,Juridica,Privada,3438900,pradoa2@baxter.com,,
1165,1165,110010526203,1100105262,INMUNOLOGIA Y DIAGNOSTICO ESPECIALIZADO,KR 7 No 119-14 CS 323,830040120,Sin Dato,Instituciones - IPS,Juridica,Privada,(571)214 9403,ide.vacunacion@gmail.com,,
1168,1168,110011840501,1100118405,ODONTOLAY LAGO,AV BOYACA No. 73 A 41,900201905,Sin Dato,Instituciones - IPS,Juridica,Privada,2510590,Sin Dato,,
1170,1170,110011841501,1100118415,MAXIDENT FERIAS,AC 72 # 70 D -26 P 2,900200201,Sin Dato,Instituciones - IPS,Juridica,Privada,2917777,williamnovoabuitrago@hotmail.com,,
1171,1171,110011841502,1100118415,MAXIDENT FONTIBÓN,CARRERA 99 No 18-14 PISO 2,900200201,Sin Dato,Instituciones - IPS,Juridica,Privada,2981299,maxidentodontologicas@hotmail.com,,
1173,1173,110010403504,1100104035,CENTRO MEDICO COLMEDICA SEDE COUNTRY PARK,KR 18 N° 84 - 11 PISO 2 Y 3,830001007,3591040,Instituciones - IPS,Juridica,Privada,3147700 EXT 6557,edgarc@colmedica.com,,
1174,1174,110010649524,1100106495,ANALIZAR LABORATORIO CLINICO AUTOMATIZADO S.A.S.,Carrera 14 A N° 101-73,891408851,Sin Dato,Instituciones - IPS,Juridica,Privada,6580000,analizar@analizarlab.com,,
1176,1176,110011844001,1100118440,EVLT COLOMBIA LTDA,KR 11 # 93 A 53 OF. 402,900094416,7021292,Instituciones - IPS,Juridica,Privada,7021292,admin@evltcolombia.com,,
1177,1177,110011844801,1100118448,IPS JAH RAFA S.A.S.,CARRERA 75 # 23 A 12,900193493,Sin Dato,Instituciones - IPS,Juridica,Privada,6958360 4048985 6908360 4871413 6052721,CONTRATACIONJAHRAFA@GMAIL.COM ATENCIONYCALIDADIPSJAHRAFA@GMAIL.COM,,
1179,1179,110011434302,1100114343,INMUNOTECH LABORATORIES S.A.S.,CRA 9 No 48-40 PISO 5,830141394,2327354,Instituciones - IPS,Juridica,Privada,3143895731,administrativo@inmunotech.net,,
1180,1180,110010602423,1100106024,DINAMICA IPS-SALUD SURAMERICANA,"CL 100 No. 19 A -35 P3, P6 Y P7",800225057,57-1-3314501,Instituciones - IPS,Juridica,Privada,57-1-3314500 ext 14572,juliqupe@dinamicaips.com.co,,
1181,1181,110011823402,1100118234,PROGRAMA MADRE CANGURO INTEGRAL LTDA SAN JOSE,CARRERA 52 No. 67A - 71 PISO 1 CS 2,900196201,3112965,Instituciones - IPS,Juridica,Privada,3112965,bacosta@programacanguro.org,,
1186,1186,110011851601,1100118516,SURE MEDICAL ASSISTANCE,CALLE 73 A # 76 - 38,830092719,7434040,Instituciones - IPS,Juridica,Privada,7434040,sureambulancias@hotmail.com,,
1188,1188,110010778209,1100107782,SALUD SURA CALLE 100 BOGOTA,Cl. 100 No. 19 A - 35,811007832,(1) 487 38 88,Instituciones - IPS,Juridica,Privada,(1) 487 38 88,mesandoval@.com.co,,
1189,1189,110011852801,1100118528,COLTRAUMA S.A.S,"Calle 23 No. 66- 46 IN 4 CN 411, CN 1011, CN 1012",900167843,Sin Dato,Instituciones - IPS,Juridica,Privada,5709670,Sin Dato,,
1191,1191,110011853801,1100118538,CONSULTORIO MEDICINA DE LA ENERGIA SAS MEDINER SAS,KR 28 C # 84-34,900073806,(57 1) 5337107,Instituciones - IPS,Juridica,Privada,(57 1) 6231122,medinerltda@gmail.com,,
1198,1198,110011864202,1100118642,HOSPITAL UNIVERSITARIO BARRIOS UNIDOS-MEDERI,CL 66 A # 52 25,900210981,3290576,Instituciones - IPS,Juridica,Privada,3290579,Sin Dato,,
1199,1199,110010735728,1100107357,OPTICENTRO INTERNACIONAL HAYUELOS,CL 20 Nº 82 - 52 LC 1 - 33,860043998,Sin Dato,Instituciones - IPS,Juridica,Privada,3546125,opticentro@sky.net.co,,
1202,1202,110010101019,1100101010,Centro Médico Deportivo de Acondicionamiento Físico Bodytech Hayuelos,Calle 20 No. 82-52 Local 4-59,830033206,Sin Dato,Instituciones - IPS,Juridica,Privada,7422639,hayuelos@bodytech.com.co,,
1204,1204,110011879301,1100118793,MEDICINA Y APOYO EMPRESARIAL MEDIEMPRESARIAL LTDA,CALLE 45A No. 27-20 Piso 2 Consultorio 4,900197184,2688080,Instituciones - IPS,Juridica,Privada,6090088,mediempresarial@gmail.com,,
1217,1217,110011893601,1100118936,VASCULAB COLOMBIA LTDA,CL 23 # 66 46 CS 1010,800162292,6009782,Instituciones - IPS,Juridica,Privada,5740940 - 2202700 EXT 71203,vasculabcol@gmail.com,,
1224,1224,110011737702,1100117377,ASISFARMA S.A. SEDE IPS CASTELLANA,KR 47 # 93 58,900149596,2182002,Instituciones - IPS,Juridica,Privada,2182002,asisfarma@gmail.com,,
1225,1225,110011902301,1100119023,IPS RADIOLOGIA ESPECIALIZADA SAS,AV CALLE 68 # 54 43,900226877,Sin Dato,Instituciones - IPS,Juridica,Privada,2319208,rxespecializada@yahoo.com,,
1230,1230,110011906101,1100119061,MEDICINA PARA LA ESTÉTICA S.A.S.,KR 47 No. 104- 14,900200404,6011204,Instituciones - IPS,Juridica,Privada,6018911,medicinaparalaestetica@hotmail.com,,
1242,1242,110011917602,1100119176,CENTRO MEDICO INTEGRAL PALERMO MEDPLUS MEDICINA PREPAGADA,CL 45 C # 22 59,900178724,EXT.116,Instituciones - IPS,Juridica,Privada,3233750,grupomedplus@medplus.com.co,,
1247,1247,110011924601,1100119246,MEDICINA Y SALUD DE COLOMBIA S.A.,AVENIDA EL DORADO No 68C-61 OF 327-1,830140725,8050810,Instituciones - IPS,Juridica,Privada,3174382208-3165287513,coordinacion@medicinaysalud.com.coasistentecalidad@medicinaysalud.com.co,,
1248,1248,110011924701,1100119247,CORPORACION CLINICA RENAL COLOMBIANA,CALLE 22 B NO. 66-46 CONSULTORIOS 1209 Y 1210,900002593,Sin Dato,Instituciones - IPS,Juridica,Privada,2202700,scastelom@hotmail.com,,
1252,1252,110011587902,1100115879,RED ORAL LIBERTADORES,CARRERA 16 No 63 A 68 piso 1,900070486,3145963,Instituciones - IPS,Juridica,Privada,2544750,ocecolina@yahoo.es,,
1254,1254,110011774414,1100117744,OPTICAS SBC LIMITADA CONSULTORIO,CALLE 114 No 6 A - 92 LOCAL 220 C218 C. CIAL HDA SANTA BARBARA,800102107,6968252,Instituciones - IPS,Juridica,Privada,6968252,opticasreport@hotmail.com,,
1255,1255,110011774415,1100117744,OPTICAS SBC LIMITADA,CL 100 # 17 A 21 PISO 2,800102107,Sin Dato,Instituciones - IPS,Juridica,Privada,2261946,Sin Dato,,
1256,1256,110011929101,1100119291,PREVENCION Y DIAGNOSTICO EN GINECOLOGIA OBSTETRICIA PREVIGIN SAS,KR 16 No. 82-29 OF 204,900190807,4571088,Instituciones - IPS,Juridica,Privada,4571088 - 3202713629 - 3202713628,direccion.laboratorio@previgin.com,,
1258,1258,110011653804,1100116538,SEGUROS BOLIVAR CENTRO MEDICO AV EL DORADO,AV EL DORADO # 68 C 61 OF 704,860002503,4270488,Instituciones - IPS,Juridica,Privada,4270486,carlos.fernando.ortiz@segurosbolivar.com,,
1263,1263,110011931601,1100119316,FUNDACION COLOMBIA PARA LA DISCAPACIDAD VISUAL,CL 56 # 7 85,900230135,Sin Dato,Instituciones - IPS,Juridica,Privada,2492012,funcoldisvisual@gmail.com,,
1264,1264,110011931701,1100119317,CUIDARTE TU SALUD S.A.S,AVENIDA CALLE 63 # 69F-26,900241765,3847650 OPCION 8,Instituciones - IPS,Juridica,Privada,3847450,subgerenteadm@cuidartetusalud.com,,
1265,1265,110011932001,1100119320,FUNDACION AEDIFICARE,KR 70 D # 55 39,900196448,8020139,Instituciones - IPS,Juridica,Privada,2638536/3186294817,atencion@fundacionaedificare.org,,
1267,1267,110011934101,1100119341,CIRUGÍA PLÁSTICA LA CASTELLANA S.A.S.,CARRERA 45 A N° 95 - 57,900210768,7552894,Instituciones - IPS,Juridica,Privada,7552894,mariacarrillo9802@hotmail.com,,
1268,1268,110011934801,1100119348,UNIDAD DE DIAGNOSTICO AUDIOLOGICO LTDA UDA LTDA,CL 90 # 18 35 OF 201,900242686,6168509,Instituciones - IPS,Juridica,Privada,6911232,uda@cable.net.co,,
1269,1269,110011937401,1100119374,FORJA EMPRESAS,CRA 12 No. 71 32 OF 302,900162688,Sin Dato,Instituciones - IPS,Juridica,Privada,3002083932,forjaempresas@gmail.com / gerencia@forjaempresas.com,,
1273,1273,110011940401,1100119404,Fundación Unidad Integral de Toxicología UNITOX,Cra. 52 # 67a-71 Oficina 109,830143946,3290647,Instituciones - IPS,Juridica,Privada,3501601 Ext 109,ggs.unitox@gmail.com,,
1277,1277,110011945101,1100119451,CLINICA NEUROREHABILITAR,CALLE 79 Nº 29C - 35,900244203,7049946,Instituciones - IPS,Juridica,Privada,7049946,neurorehabilitar@hotmail.com - directora@neurorehabilitar.com,,
1279,1279,110011947601,1100119476,CENTRO NACIONAL DE ENDOCRINOLOGIA Y METABOLISMO S.A. CENDEM S.A.,KR 16 A # 77 33,900243752,Sin Dato,Instituciones - IPS,Juridica,Privada,2363803,cendemsa@gmail.com,,
1280,1280,110011947901,1100119479,SANTA BARBARA SURGICAL CENTER S.A.S,"Cra. 22 Nº 100-24 piso 1,piso 3 consultorios 1,2,3 y 7",900225646,2571399,Instituciones - IPS,Juridica,Privada,2571399 - 2577588,administracion@santabarbarasurgical.com.co,,
1282,1282,110010959904,1100109599,CENTRO DE INVESTIGACIÒN CLINICA DEL COUNTRY,CALLE 83 No. 16 A-43 PISO 1,830005028,5301304 - 5300512,Instituciones - IPS,Juridica,Privada,5300470 - 5301270,jospina@cinicadelcountry.com,,
1284,1284,110011950801,1100119508,ELITE DENTAL SUCURSAL GALERIAS,DG 53 C N 23 - 44 LC 2,900244133,3460492,Instituciones - IPS,Juridica,Privada,3460502,inversionescegar@hotmail.com,,
1286,1286,110011951801,1100119518,CENTRO NEUROPSICOLOGICO MARTHA LUCIA MIRANDA,Calle 104 A No. 21 07,900159714,6004666,Instituciones - IPS,Juridica,Privada,6001780/6001781/3115995162,psicologia.psico@centroneuropsicologico.com,,
1289,1289,110011954901,1100119549,INMUGEN CORPORATION LIMITADA,CR 45 A 103 B-52,900056449,6049861,Instituciones - IPS,Juridica,Privada,5202074/ 6049861,inmugen@gmail.com,,
1290,1290,110011415002,1100114150,CENTRO CONTROL DE CANCER COUNTRY,CRA. 16 A No. 83-11,830008300,6113208,Instituciones - IPS,Juridica,Privada,5300136-5300138,centrocontrolcancer@gmail.com,,
1291,1291,110011956901,1100119569,VOGA COLOMBIA IPS SAS,CALLE 84 # 19 A - 25 Consultorio 101 - 102,900240307,Sin Dato,Instituciones - IPS,Juridica,Privada,6552608-6552643,servicliente@vitalnetips.com,,
1294,1294,110011958101,1100119581,SIGANDINI S.A.S,CARRERA 16 A No. 82 - 46 CS 411- 710,800204545,6109817,Instituciones - IPS,Juridica,Privada,2960529,administracion@sigandini.net,,
1300,1300,110011964401,1100119644,COLOMBIANEST LTDA,CALLE 23 66-46 CS 403,900245825,5701706,Instituciones - IPS,Juridica,Privada,5701657,contabilidadcuc@yahoo.com,,
1306,1306,110011966301,1100119663,"CENTRO DE INVESTIGACIÓN Y EVALUACIÓN PSICOLÓGICA EDUCATIVA ""CIEPSE"" E.U.",CL 45A No.20-96 CS 701,900215704,2877588/3162266706,Instituciones - IPS,Juridica,Privada,2877588/3102651677,beatrizcollantes@hotmail.com,,
1307,1307,110011966801,1100119668,CFZ MEDICINA ESTETICA LTDA,CALLE 91 No 19 C - 62 CS 405 - 406 y 407,900200848,Sin Dato,Instituciones - IPS,Juridica,Privada,8106243,caritofelizzola@hotmail.com,,
1309,1309,110011969401,1100119694,BOTELLDENT ODONTOLOGIA ESPECIALIZADA,CR 19 C NO. 86 30 OF 305,900198926,Sin Dato,Instituciones - IPS,Juridica,Privada,6108877,botedent@hotmail.com,,
1311,1311,110011969902,1100119699,DENTAL LINE,CL 93 B # 17 42 OF 401,900171194,6222402,Instituciones - IPS,Juridica,Privada,6222390,wilsonfa1@hotmail.com,,
1312,1312,110011970301,1100119703,OPTIRED LTDA,CALLE 51 No 14 - 88,900223088,2102939,Instituciones - IPS,Juridica,Privada,3463501,johis71@hotmail.comalejonocua@hotmail.com,,
1314,1314,110011533902,1100115339,BOCAS CHICO,CL 93 B # 16 - 08 CS 207,830145199,2214579,Instituciones - IPS,Juridica,Privada,2223037,bocasodontologia@yahoo.com,,
1315,1315,110011522102,1100115221,APM SERVICIOS ASISTENCIALES IPS S.A.S,CARRERA 16 No 68-74,900055754,Sin Dato,Instituciones - IPS,Juridica,Privada,6067222- 3106666888,administracion@apmasesores.com,,
1316,1316,110011976501,1100119765,ESPECIALISTAS EN SALUD OCUPACIONAL GENESLAB LTDA,CL 98 No 15 - 17 CS 201,900102600,6213745,Instituciones - IPS,Juridica,Privada,6213646,geneslab2001@yahoo.es,,
1317,1317,110011977401,1100119774,C&C COMPANY LTDA,CL 73 # 7 50 CS 301,900189180,Sin Dato,Instituciones - IPS,Juridica,Privada,2114481,c&ccompany@hotmail.com,,
1318,1318,110011977601,1100119776,NATURAL BODY CENTER LTDA,CL 53 B 24 80 CS 413,830116823,Sin Dato,Instituciones - IPS,Juridica,Privada,3460468,naturalbodycenterltda@hotmail.com,,
1319,1319,110011977602,1100119776,NATURAL BODY CENTER LTDA.,CL 85 # 12 10 CS 313,830116823,Sin Dato,Instituciones - IPS,Juridica,Privada,6910360,admin@naturalbodycenter.com,,
1320,1320,110011977603,1100119776,NATURAL BODY CENTER LTDA.,CL 53 B # 24 80 CS 702,830116823,Sin Dato,Instituciones - IPS,Juridica,Privada,2159962,admin@naturalbodycenter.com,,
1323,1323,110011978601,1100119786,CLINICA NEUROLOGICA,CALLE 84 No. 19A-05 CONSULTORIO 701 EDIFICIO COUNTRY MEDICAL CENTER,900264941,7428126,Instituciones - IPS,Juridica,Privada,7953131 EXT 7010 - 3165237122,asist.ger01@gmail.com,,
1325,1325,110011979901,1100119799,CENTRO AUDIOLOGICO ESPECIALIZADO C.A.E,CR 19 C No. 86 - 30 CS 206 - 207,900261398,Sin Dato,Instituciones - IPS,Juridica,Privada,6170965 6918749 3214686825,cae@daudio.co,,
1330,1330,110011982201,1100119822,ESPECIALISTAS EN SALUD S.A.,CARRERA 19 A No 82 51,900234939,236 29 58,Instituciones - IPS,Juridica,Privada,610 61 50,especisalud@yahoo.com,,
1332,1332,110011233601,1100112336,LABORATORIO CLINICO BIOLAB LTDA,Cra 45a # 95-73,830130006,Sin Dato,Instituciones - IPS,Juridica,Privada,8077011,carolina.cruz@laboratorioclinicobiolab.com,,
1336,1336,110010512804,1100105128,UNIDAD MEDICA IPS MARCO FIDEL SUAREZ SEDE NORMANDIA,Av Cra 70 No. 51 41,830076155,2636435,Instituciones - IPS,Juridica,Privada,4108365,ipsmarcofidelsuarez@colombia.com,,
1337,1337,110011986401,1100119864,L I SPA VIVIR NEW STETIC I P S LTDA,CL 53 # 73 62 PI 2,900240675,6043568,Instituciones - IPS,Juridica,Privada,4109574,iris_alarcon@hotmail.com,,
1342,1342,110011993701,1100119937,LINK SALUD OCUPACIONAL LINK S.O,CARRERA 20 No 53-84 Piso1 consultorio 101 - 102,830120641,2498580,Instituciones - IPS,Juridica,Privada,2498580,salud.ocuapcional@linktrade.com.co,,
1343,1343,110011994701,1100119947,STEM MEDICINA REGENERATIVA S.A.S.,CALLE 113 # 7 - 45 TORRE B OF 702/703 EDIFICIO TELEPORT,830122359,6292994,Instituciones - IPS,Juridica,Privada,6292991,admin@hotmail.com,,
1347,1347,110011997501,1100119975,CENTRO DE IMÁGENES DIAGNOSTICAS CID BABY EU,CALLE 93 # 46 - 44,900262272,Sin Dato,Instituciones - IPS,Juridica,Privada,5339074,Sin Dato,,
1348,1348,110010959905,1100109599,CENTRO DE ONCOLOGIA CLINICA DEL COUNTRY,"CALLE 83 No 16A-10 piso 2,3,4,5",830005028,5301304-5300512,Instituciones - IPS,Juridica,Privada,5300470-5301270,jospina@clinicadelcountry.com-cranis@clinicadelcountry,,
1350,1350,110012000801,1100120008,MAXIDENT PLUS CLINICAS ODONTOLOGICAS SAS,calle 57 No 9 75,900278912,Sin Dato,Instituciones - IPS,Juridica,Privada,2121600,jennynovoabuitrago@hotmail.com,,
1360,1360,110011275140,1100112751,CENTRO MÉDICO FAMILIAR LOS HÉROES,AK 20 No 82-49,830128856,6441788,Instituciones - IPS,Juridica,Privada,6223383 3008961382 3007071763 3008960052,imora@corporacionips.com.co,,
1363,1363,110012004401,1100120044,INSTITUTO COLOMBIANO DE GERONTOLOGIA Y GERIATRIA LTDA SIGLA ICGG LTDA,KR 73 BIS Nº 55-74,900266533,2632505,Instituciones - IPS,Juridica,Privada,4296022,incolger@gmail.com,,
1365,1365,110010748102,1100107481,OFTALMOSANITAS CUC,"CL 23 # 66 - 46 INT 4 CONSULTORIOS 518, 519, 603 AL 614 Y 617",830103525,2745023,Instituciones - IPS,Juridica,Privada,5700811,ccamacho@colsanitas.com,,
1371,1371,110010245002,1100102450,DIAGNOSTICOS E IMAGENES S.A.I. SEDE OCCIDENTE,CL 73A NRO 76 06,830092718,7434040 EXT 6028,Instituciones - IPS,Juridica,Privada,7434043,direccion@diagnosticoseimagenes.com,,
1374,1374,110012014001,1100120140,FUNDACION LEON ZAFIRO,CL 97 No 23 37 CS 707 CENTRO MEDICO DALY,900284507,Sin Dato,Instituciones - IPS,Juridica,Privada,6421600 EXT 707- 3106093173,neil.mendoza@fundacionleonzafiro.com,,
1376,1376,110012015701,1100120157,DIANTHE SAS,CARRERA 71B 54 11,900279906,(571) 3003415,Instituciones - IPS,Juridica,Privada,(571) 2955960,luis.jaramillo@clinicasdianthe.com,,
1377,1377,110012016301,1100120163,CENTRO DE RECONOCIMIENTO DE BOGOTA LIMITADA SIGLAS CERTIBOGOTA Ltda,Calle 80 # 70 F -65 Piso 2,900292945,Sin Dato,Instituciones - IPS,Juridica,Privada,3202424-3017553711,ipscertibogota@hotmail.com,,
1379,1379,110012017001,1100120170,INVERSIONES Y SERVICIOS MANIDAN S.A,AK 9 # 116 20 CS 205,900210872,6198079,Instituciones - IPS,Juridica,Privada,2152852,augpenar@cable.net.co,,
1381,1381,110012021301,1100120213,SERVICIOS OFTALMOLOGICOS OFTALMOCENTER LTDA SIGLA OFTALMOCENTER LTDA,"CL 97 No. 23 37 CONS 307, 703, 704, 721",900159763,7513449,Instituciones - IPS,Juridica,Privada,7513449-6217273,corduy@hotmail.com,,
1382,1382,110010571108,1100105711,UPP MEDICINA PREPAGADA COLCAN,Av Cra 9 No. 110-25 PI 1 CS15,800066001,744 75 55 ext. 2325/29,Instituciones - IPS,Juridica,Privada,7431072,colcan@cable.net.co,,
1383,1383,110012023001,1100120230,INTEGRAL ODONTOLOGIA AVANZADA LTDA,KR 17#106 16,900259550,Sin Dato,Instituciones - IPS,Juridica,Privada,6014858/6298157,juancarlosjaramillo@odontoavanzada.com,,
1384,1384,110012023301,1100120233,CENTRO DE INVESTIGACIONES EN EPILEPSIA.,AV CRA.9 No. 103A-36 CONS 304 - 1,900010791,Sin Dato,Instituciones - IPS,Juridica,Privada,6290900 - 3125219117,juanverpal@gmail.com,,
1389,1389,110012025101,1100120251,CORPOLINEA EU,CL 24 # 81-93,900295612,Sin Dato,Instituciones - IPS,Juridica,Privada,2636075,paezmanuel@hotmail.com,,
1390,1390,110012025201,1100120252,SERVICIO CARDIOLÓGICO DEL LLANO,Carrera 15 No. 68 - 51,844002258,6067928,Instituciones - IPS,Juridica,Privada,6069297,cardiologicodelllanobogota@gmail.com,,
1391,1391,110012025601,1100120256,MEDICAL PROTECTION LTDA SALUD OCUPACIONAL,KR 12 # 71 19,900170405,Sin Dato,Instituciones - IPS,Juridica,Privada,2179150-2485752,MEDICALPROTECTION@GMAIL.COM,,
1395,1395,110010240419,1100102404,INSTITUTO DE DIAGNÓSTICO MÉDICO S.A SEDE PALERMO,CL 45 B No 24-25,800065396,5455036,Instituciones - IPS,Juridica,Privada,3438770,contabilidad@idime.com.co,,
