RAZON SOCIAL;SEDE;DIRECCIÓN;IPSTELEFON;CORREO;TIPO DE IPS
Caja Colombiana De Subsidio Familiar Colsubsidio;Clínica Colsubsidio Orquideas;CL 163 A # 15 77 - 89;2878136;salud.colsubsidio@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Clínica Infantil Colsubsidio;CL 67 # 10 27;3431899;salud.colsubsidio@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Altas Cortes;CL 12 # 7 65 SOTANO;6.5391e+013;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Banco De Bogotá;CL 36 # 7 47 PI 3;6.5391e+013;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Banco De Bogotá 2;KR 13 A # 35 38 PI 5 TO B 35;3320032 Ext. 43017;julia.muelle@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Cocacola;AK 96 # 24 C 94 IN 2;6.5391e+013;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Davivienda;CL 28 # 13 A 15 OF 2410;3300000;julia.muelle@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa El Tiempo;AC 26 # 68 B 70;2940100 Ext. 2370;julia.muelle@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Equion;KR 9 A # 99 02 PI 9;6539101-6539099;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Grupo Aponte;CL 14 # 62 21;6.5391e+013;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Protela;TV 93 # 65 A 82 PI 2;6.5391e+013;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio De Empresa Tribunales De Cundinamarca;AC 24 # 53 28 PI BASE TO B;6539101-6539099;salud.usaquen@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Consultorio Medico Bbva;KR 9 # 72 21 PI 2 CS 201;4473700;salud.colsubsidio@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Punto De Atención En Salud Av Boyaca;AK 72 # 63 F 49;2512676;maritza.torresm@colsubsidio.com;Privada
Caja Colombiana De Subsidio Familiar Colsubsidio;Salud Preferencial Mazuren;CL 152 # 53 A 05 PI 3;7436756;julia.muelle@colsubsidio.com;Privada
Caja De Compensación Familiar Cafam;Centro De Atención En Salud Cafam Centenario;CL 27 # 26 24 SUR;3105111;c-jrodriguez@cafam.com.co;Privada
Caja De Compensación Familiar Cafam;Centro De Atención En Salud Cafam Kennedy;KR 78 K # 37 A 35 SUR CS 415;2998611;lugomez@cafam.com.co;Privada
Caja De Compensación Familiar Cafam;Centro De Atención En Salud Cafam Procuraduría;KR 5 # 15 80 PI 2;5878750 Ext. 10661;adrrodriguez@cafam.com.co;Privada
Caja De Compensación Familiar Cafam;Centro De Salud Familiar Cafam Candelaria;KR 43 B # 62 10 SUR;7152871;;Privada
Caja De Compensación Familiar Compensar;Caja De Compensación Familiar Compensar - Sede Clínica Magdalena;CL 39 # 14 34;2853900;cctrujillo@compensar.com;Privada
Caja De Compensación Familiar Compensar;Compensar Sisalud;AC 51 SUR # 7 74;4285088 Ext. 1501;hcastellanos@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial # 2 Proenfar S.A;CL 10 # 34 47 PI 2;4285088 Ext. 1002;hcastellanos@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Helm Bank;KR 7 # 27 18 PI 1;4285088 Ext. 1002;hcastellanos@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Instituto De Desarrollo Urbano;CL 22 # 6 27 PI 2;4285088 Ext. 11002;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Ministerio De Comercio Industria Y Turismo;CL 28 # 13 A 15 PI 2;4285088 Ext. 1002;hcastellanos@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Ministerio De Hacienda Dian;KR 7 #6 C 54 PI 3 CS 1;4285088;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Personería De Bogotá;KR 7 # 21 24 PI 5;4285088 Ext. 1002;hcastellano@compensar.com;Privada
Caja De Compensación Familiar Compensar;Consultorio Empresarial Universidad De Los Andes;CL 18 A # 1 33 ES PI 2 CS 205;4285088;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Sede 20 De Julio;KR 7 # 26 04 SUR PI 1 Y PI 3 (303);4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Sede Alquería;AK 68 # 39 11 SUR PI 1;4285088;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Sede Samu Alquería;AK 68 # 31 41 SUR PI 1;4285088 Ext. 11002;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Sede Unidad Medica Santafé Kennedy;KR 78 K # 33 A 39 SUR PI 2;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensación Familiar Compensar;Unidad De Servicios Eaab Centro Nariño;AK 36 # 23 33;4285088 Ext. 1005;abarragant@compensar.com;Privada
Caja De Compensación Familiar Compensar;Unidad De Servicios EAB Santa Lucia;AK 14 # 41 70 SUR;4285088 Ext. 1005;abarragant@compensar.com;Privada
Caja De Compensación Familiar Compensar;Unidad De Servicios Kennedy;TV 78 H # 41 C 48 SUR;4039393 Ext. 20052010;abarragan@compensar.com;Privada
Caja De Compensación Familiar De Cundinamarca Comfacundi;Caja De Compensación Familiar De Cundinamarca Comfacundi Sede Santa Librada;CL 91 SUR # 0 11 ES;7735079;luzamparoru@gmail.com;Privada
Caja De Compensación Familiar De Cundinamarca Comfacundi;Caja De Compensación Familiar De Cundinamarca Comfacundi Sede Santa Librada;CL 91 SUR # 0 03 ESTE;7628768;luzamparoru@yahoo.es;Privada
Caja De Compensación Familiar De Cundinamarca Comfacundi;Caja De Compensación Familiar De Cundinamarca Sede Primera De Mayo;CL 21 SUR # 26 61;2724428;luzamparoru@yahoo.es;Privada
Caja De Compensación Familiar De Cundinamarca Comfacundi;Sede Ciudad Bolívar;DG 64 B # 19 C 60 SUR;7315082;luzamparoru@yahoo.es;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Calle 127;CL 127 # 21 85;5222312;mcalvarez@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Calle 48;KR 13 # 48 47;3476318;mcalvarez@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Calle 51;KR 15 # 51 35;3105111;mcalvarez@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Clínica;CL 51 # 15 34;3105111;cbetancourt@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Floresta;AK 68 # 90 88;6444985;mmro@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Quirigua;TV 94 # 82 20;2276886;mmor@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Suba;KR 113 C # 142 A 98;6875150;;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Universidad Santo Tomas Sede Centro;KR 9 # 51 11 PI 2 EDIFICIO ALBERTO ARIZA;3484141;;Privada
Caja De Compensacion Familiar Cafam;Centro De Atención En Salud Cafam Universidad Santo Tomas Sede Norte;KR 9 # 72 90 PI 1;6402929;jghernandez@hotmail.com;Privada
Caja De Compensacion Familiar Cafam;Centro De Salud Familiar Cafam Engativa;KR 95 # 90 A 10;4409187;;Privada
Caja De Compensacion Familiar Cafam;Laboratorio Cl-Nico Cafam Central De Procesamiento;KR 16 # 52 35;3105111 Ext. 4196;necheverria@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Optica Cafam Calle 51;KR 16 # 51 20;3105111;anavarro@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Optica Cafam Centro Suba;CL 145 # 91 19 LC 9-005 CC CEN;6861917;anavarro@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Optica Cafam Floresta;AK 68 # 90 88 LC 10-13;6768000;anavarro@cafam.com.co;Privada
Caja De Compensacion Familiar Cafam;Optica Cafam Lisboa;CL 134 # 10 34;6141979;anavarro@cafam.com.co;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar - Consultorio Empresarial Superintendencia De Sociedades;AC 26 # 51 80;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar - Consultorio Empresarial Colombia Telecomunicaciones S.A. E;TV 60 # 114 A 55;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar - Consultorio Empresarial Facol S.A.;CL 12 # 60 74 PI 2;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar - Consultorio Empresarial Pepal S.A.;CL 18 A # 69 B 24 PI 1;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar Ce Universidad Pedagogica Nal;CL 72 # 11 86;4285000 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar Consultorio Empresarial El Tiempo;AC 26 # 68 B 70 PI 1;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar Cs Empresarial Corporación Club El Nogal;KR 7 # 78 96;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Caja De Compensacion Familiar Compensar Unidad De Servicios De Salud Eaaab Usaquen;CL 110 # 9 80;4285088;abarragant@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Compensar- Sede Salud Oral Kennedy;CL 35 A SUR # 78 L 11;4285088;castellanos@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Compensar Unidad De Servicios Cl 67;CL 67 # 10 06;5455085;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Consultorio Empresarial # 1 Proenfar S.A;KR 69 # 16 79 PI 2;4285088;hcastellano@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Consultorio Empresarial Caracol Television;CL 103 # 69 B 43 CASA 6;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Consultorio Empresarial Finart S.A.;KR 127 # 15 B 60 PI 1;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Consultorio Empresarial Registraduria Nacional;AC 26 # 51 50 PI 1;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Sede Central De Procesamiento De Laboratorio Clínico;CL 63 # 28 42 PI 1 Y PI 2;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Sede Samu 145;AK 45 # 145 64 PISO 2;4285088 Ext. 11002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Sede Unidad Medica Santafe Unicentro;AC 127 # 15 A 55 PI 1 SEMISOTA;4285088;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servcios  Fontibon;DG 16 # 104 51;4285088 Ext. 1002;hcastellanos@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Calle 134;AC 134 # 7 B 83 LC 17;6257368;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Calle 145;AK 45 # 145 24 PI 1 2 3;4285088 Ext. 11003;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Calle 26;AC 26 # 66 A 48;4281983;hcastellanos@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Calle 42;CL 42 # 13 19;3208430;abarragan@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Calle 94;CL 94 # 23 43;6445757;hcastellanos@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Suba;KR 90 # 146 B 17;4285088;hcastellanos@compensar.com;Privada
Caja De Compensacion Familiar Compensar;Unidad De Servicios Terapias Suba;AC 145 # 85 52 LC 2;4285088 Ext. 1002;abarragan@compensar.com;Privada
Caja De Compensacion Familiar De Cundinamarca Comfacundi;Caja De Compensacion Familiar De Cundinamarca Comfacundi Chapinero;CL 53 # 10 39 PI 2;3481102;luzamparoru@yahoo.es;Privada
Caja De Previsión Social De Comunicaciones Caprecom;Caprecom Caa Comercial Y Bancario;KR 8 # 12 A 19;3426561;jfontalvo@caprecom.gov.co;Privada
Caja De Previsión Social De Comunicaciones Caprecom;Caprecom Caa Kennedy;KR 78 D # 40 25 SUR;2998904;jfontalvo@caprecom.gov.co;Privada
Caja De Previsión Social De Comunicaciones Caprecom;Caprecom Clínica San Pedro Claver;CL 24 # 29 61;5600520 Ext. 4165;jfontalvo@caprecom.gov.co;Privada
Caja De Prevision Social De Comunicaciones Caprecom;Caprecom Caa Dorado;CL 46 # 99 32;2989699;jfontalvo@caprecom.gov.co;Privada
Caja De Prevision Social De Comunicaciones Caprecom;Caprecom Caa Santa Barbara;CL 129 # 46 35;5225534;jfontalvo@caprecom.gov.co;Privada
Caja De Prevision Social De Comunicaciones Caprecom;Caprecom Caa Suba;KR 92 # 145 60;6851797;jfontalvo@caprecom.gov.co;Privada
Caja De Prevision Social De Comunicaciones Caprecom;IPS Caprecom Bogota;KR 69 # 47 34 PI 1;4235400;jfontalvo@caprecom.gov.co;Privada
Calidad De Vida Cp S.A.S.;Calidad De Vida Cp S.A.S.;KR 7 # 82 66 CS 222;2569568;calidadvidacp@gmail.com;Privada
Calidad Medica Especializada S.A;Clínica Superior De Especialistas;AK 30 # 4 A 68;3511108;calidadmedica@hotmail.com;Privada
Camargo & Buitrago SAS;Oralmedic Clínicas Odontomedicas Shaio;AV SUBA # 115 65;2260559;oralmedicc@hotmail.com;Privada
Camedica & Mp Diagnósticos SAS;Camedica;AK 30 # 86 A 95 PI 2;6915367;camedica@hotmail.com;Privada
CAMIlo Velez Escallon & Cia Ltda;CAMIlo Velez Escallon & Cia Ltda;AK  9 # 116 20 CS 817;2152801;camilo.velezescallon@gmail.com;Privada
Campo Elias Paez IPS SAS;Campo Elias Paez IPS SAS;KR 18 # 84 11 CS 801;2960561;paez_elias@yahoo.es;Privada
Can 2005 S En C;Can 2005 S En C;CL 20 SUR # 25 41;3283588;can2005senc@gmail.com;Privada
Capella Odontología Especializada Ltda;Capella Odontología Especializada;AV 15 # 104 76 OF 308;2154560;juliocapella@hotmail.com;Privada
Capf Fitness Gym;Capf Fitness Gym;CL 138 10 A 42;2589480;biluchomallarino@yahoo.com;Privada
Capf Gym Machine E.U;Capf Gym Machine;KR 20 # 122 - 95;2137696;capfgymmachine@hotmail.com;Privada
Cardilogicas Ltda;Cardilogicas Ltda;CL 45 F # 16 A 11;3400439;dbeltranb@hotmail.com;Privada
Cardio Colombia SAS;Cardio Colombia Sede 2;KR 18 # 84 11 PI 2 CS 11;3158380033;cardiocolombialtda@gmail.com;Privada
Cardio Global Ltda;Cardio Global Ltda;TV 100 A # 80 A 50;2913300 Ext. 1130;cardioglobal@hotmail.com;Privada
Cardio Global Ltda.;Cardio Global Ltda.;CL 20 SUR # 25 45 PI 2;7025007;cardiogloballtda@gmail.com;Privada
Cardioanalisis Ltda;Cardioanalisis Ltda Sucursal B;KR 13 # 48 26 CS 302;2329661;clespin2001@yahoo.com;Privada
Cardiodiagnosticos Calle 91 Ltda;Cardiodiagnosticos Calle 91 Ltda;CL 91 # 19 C 55 CS 401;6910800;cardiodiagnosticoscalle91@gmail.com;Privada
Cardioespec  Ltda.;Cardioespec Ltda.;CL 22 S # 19 C 09 CS 303;3158534017;diego.beltran@cardioespec.com;Privada
Cardioexel S.A;Cardioexel S.A;KR 16 # 82 57 CS 202-1;5300470 Ext. 1225;jflcas38@gmail.com;Privada
Cardiolog Laboratorio De Cardiología Integral Limitada;Cardiolog Laboratorio De Cardiología Integral Limitada;AC 127 # 20 78 CS 409;6156908;cardiologltda@gmail.com;Privada
Cardiologos Profesionales Ltda;Cardiologos Profesionales Ltda;CL 50 # 8 27 CS 407;2881270;cardiologosprofesionales@yahoo.com;Privada
Cardiología No Invasiva Ltda;Cardiología No Invasiva Ltda;AV 7 # 119 14 CS 509;6122989;cardiologianoinvasiva@gmail.com;Privada
Cardionet Ltda;Cardionet Ltda;CL 97 # 23 37 CS 604;6010606;cardionet_ltda@hotmail.com;Privada
Cardionet Ltda;Cardionet Unicentro;CL 127 # 15 A 55 PI 3 CS 1 Y 2;7443388;cardionet_ltda@hotmail.com;Privada
Cardiopediatras Ltda;Cardiopediatras Ltda;KR 16 # 82 74 CS 605;6919248;cardiopediatras@yahoo.com;Privada
Cardiosanar IPS SAS;Cardiosanar IPS SAS;CL 33 BIS 15 64;2325761;cardiosanaripssas@gmail.com;Privada
Cardiovision Limitada;Cardiovision Limitada;KR 16 # 82 29 CS 501;6164426;;Privada
Carlos A Jimenez Ultrasonido Ltda Civil;Almirante;KR 16 # 84 A 09 CS 321;6449500;radiologiadelcountry@hotmail.com;Privada
Carlos A Jimenez Ultrasonido Ltda Civil;UBA 68;AK 68 # 17 12;4473333 Ext. 6310;radiologiadelcountry@hotmail.com;Privada
Carlos A Jimenez Ultrasonido Ltda Civil;UBA 80;CL 80 # 92 27;4473333;radiologiadelcountry@hotmail.com;Privada
Carlos Alfredo Perilla Borda Y Compañ-A Ltda;Laboratorio De Rayos X Carlos Alfredo Perilla Borda;KR 19 # 84 73;2575752;eltuntun@gmail.com;Privada
Carlos Eduardo Rangel Galvis S.A.S.;Carlos Eduardo Rangel Galvis S.A.S;CL 134 # 7 B 83 CS 920;6331595;edugalvis@yahoo.es;Privada
Carlos Serrano Mora Y Cia S En C;Carlos Serrano Mora Y Cia S En C;CL 93 B # 13 92 OF 201;6235500;;Privada
Carolina Ortiz I.P.S. S.A.S.;Carolina Ortiz I.P.S. S.A.S.;AC 134 # 7 83 TO 2 PI 6 MD 262;6480568;administracion@carolinaortizips.com;Privada
Carolina Ramirez Spa S A S;Carolina Ramirez Spa S A S;AV 9 # 106 06;5226486;carolinaramirezspa@hotmail.com;Privada
Casa Aum SAS Pudiendo Usar Tambien El Nombre Abreviado Casa Aum;Casa Aum SAS Pudiendo Usar Tambien El Nombre Abreviado Casa Aum;KR 36 # 54 20;3182384162;andres.insuasty13@gmail.com;Privada
Casa Hernandez SAS;Body Town Sport;CL 136 # 19  33;2740382;blancaolarte1@hotmail.com;Privada
Cataño & Marquez SAS;Clínica Cataño & Marquez;KR 11 A # 97 55 CS 201 AL 208  PI 1;5208301;contabilidad.cm@hotmail.com;Privada
Caviesthetics SAS;Caviesthetics SAS;KR 14 # 77 A 10 OF 301;6915933;caviesthetics@gmail.com;Privada
Cayo Alonso Duarte Suarez Y Compañia S En C;Cayo Alonso Duarte Suarez Y Compañia S En C;CL 93 B # 13 92 CS 101;6227835;cayoalonso@yahoo.com;Privada
Ccreer IPS Centro Colombiano De Referencia De Enfermedades Raras SAS Con La Sigla Ccreer IPS;Ccreer IPS Centro Colombiano De Referencia De Enfermedades Raras SAS Con La Sigla Ccreer IPS;KR 21 # 57 47;7026722;direccionipsccreer@gmail.com;Privada
Cefert S.A.S.;Cefert S.A.S.;CL 116 # 9 72 CS 401 Y 419;3012298675;rosepiga@yahoo.com;Privada
Celagem SAS;Celagem;KR 10 # 97 A 13 OF 708 TO A;6421052;celagem@gmail.com;Privada
Celagem SAS;Unidad De Fertilidad Celagem;CL 98 # 9 A 41 OF 402;3000025;celagem@gmail.com;Privada
Celdent Ltda;Oral Studio;AK 19 # 135 14 PI 2;6256026;odokcedritos@hotmail.com;Privada
Cenelca SAS;Cenelca SAS;AK 15  # 119 39 LC 4;3103206628;cenelca.sas.depelle@gmail.com;Privada
Centrident Ltda.;Centrident Ltda.;TR 73 SUR # 39 32;2734918;;Privada
Centrisalud IPS Ltda.;Centrisalud IPS Ltda.;KR 8 # 16 51 CS 605;2831910;centrisalud@starmedia.com;Privada
Centro Audio Protesico SAS;Centro Audio Protesico SAS;CL 53 A # 28 18;0;audioprotesico@yahoo.com;Privada
Centro Audiologico Y Quirurgico Del Country S A S;Centro Audiologico Y Quirurgico Del Country S.A.S Sede Chapinero;KR 7 # 52 53 CS 409;6910870;audiologicoyquirurgico@hotmail.com;Privada
Centro Biomedico De Especialistas D & D Ltda;Centro Biomedico De Especialistas;KR 43 # 24 A 35;2440790;info@centrobiomedico.com;Privada
Centro Cardiologico De Bogota Ltda;Centro Cardiologico De Bogota Ltda;KR 16 # 82 29 CS 209;6164826;ccdbgota@gmail.com;Privada
Centro Colombiano De Cirugia Plastica Ltda;Centro Colombiano De Cirugia Plastica Ltda;CL 97  23 37 PI 8 Y 9;6420600;info@plasticayestetica.com;Privada
Centro Colombiano De Estudios Y Tecnologias Del Comportamiento E.U Ccetec;Centro Colombiano De Estudios Y Tecnologias Del Comportamiento E.U Ccetec;CL 127 # 71 66;4811054;ccetec@gmail.com;Privada
Centro Colombiano De Fertilidad Y Esterilidad Cecolfes SAS Sigla Cecolfes;Centro Colombiano De Fertilidad Y Esterilidad Cecolfes;CL 102 # 14 A 15;6101569;cecolfes@colomsat.net.co;Privada
Centro Colombiano De Hematologia Y Transfusion Sanguinea Ltda;Centro Colombiano De Hematologia Y Transfusion Sanguinea Ltda;CL 134 # 12 55;6334151;;Privada
Centro Colombiano De Salud Y Medicina Integral Csm SAS;Centro Colombiano De Salud Y Medicina Integral Csm;KR 72 BIS # 73 35;2867483;csm.gerencia@yahoo.com.co;Privada
Centro De Acondicionamiento Fisico S.A Cendeafi S.A;Centro Medico Deportivo Y Capf Athletic People Sports Club;CL 119 # 11 B 59;6206312;apsports@etb.net.com;Privada
Centro De Acondicionamiento Y Preparación Física Capf Soal;Centro De Acondicionamiento Y Preparación Física Capf Soal;KR 21 # 14 86;2782077;;Privada
Centro De Acondicionamiento Y Preparación Física Wellnes Company SAS;Wellness;KR 7 # 32 70 LC 308;7431799;directorsalud@spinningcentergym.com;Privada
Centro De Acondicionamiento Y Preparacion Fisica 63 In Ltda;Centro De Acondicionamiento Y Preparacion Fisica 63 In Ltda;CL 63 A # 17 49;2495446;;Privada
Centro De Acondicionamiento Y Preparacion Fisica Spinning Center Gym Capital Towers S.A.S;Capf Spinning Center Gym Capital Towers;AC 24 # 51 40 SOTANO 1;7450156;directorsalud@spinningcentergym.info;Privada
Centro De Acondicionamiento Y Preparacion Fisica Wellness Center SAS;Spinning Center Gym Unicentro;KR 111C # 86-05 LC 282;7026307;directorsalud@spinningcentergym.com;Privada
Centro De Adelgazamiento Fast Bogota SAS;Centro De Adelgazamiento Fast Bogota SAS;CL 95 # 46 05;2567586;fastbogota@gmail.com;Privada
Centro De Adicciones Siquem Ltda;Centro De Adicciones Siquem Ltda;KR 11 A # 115 23;2145302;contacto@centrosiquem.org;Privada
Centro De Analisis Molecular S.A;Centro De Analisis Molecular S.A;AK 45 # 150 10;6153629;camcomercial@etb.net.co;Privada
Centro De Analisis Vimon Ltda;Centro De Analisis Vimon Ltda;DG 110 # 16 47 OF 606;6121680;vimonlab@hotmail.com;Privada
Centro De Angiologia Y Cirugia Vascular Ltda;Centro De Angiologia Y Cirugia Vascular Ltda;KR 13 # 49 40 OF 425;2320052;cacvas@hotmail.com;Privada
Centro De Angiologia Y Cirugia Vascular Ltda;Centro De Angiologia Y Cirugia Vascular Ltda Sede Santana;CL 119 # 7 14 CS 316;2152633;gerencia@venolaser.com;Privada
Centro De Análisis Molecular S.A;Cam 2;CL 36 # 28 A 24 PI 1;2445733;camolecular@etb.net.co;Privada
Centro De Análisis Molecular S.A;Cam 3;KR 13 # 37 43 PI 10 CS 2 TO NORTE;2321003;camolecular@etb.net.co;Privada
Centro De Apoyo Al Escolar SAS;Centro De Apoyo Al Escolar S A S;KR 72 B # 49 A 43;4796808;caemicasa@gmail.com;Privada
Centro De Aprendizaje Y Desarrollo San Angel SAS;Centro De Aprendizaje Y Desarrollo San Angel SAS;KR 17 A # 119 A 38;2138421;;Privada
Centro De Asesoria Familiar Y Comunitaria;Centro De Asesoria Familiar Y Comunitaria Sede Patio Bonito;CL 34 BIS # 88 D 67 SUR;4501016;centrodeasesoria@hotmail.com;Privada
Centro De Asesoría Familiar Y Comunitaria;Centro De Asesoría Familiar Y Comunitaria Sede Timiza;KR 75 D # 41 B 04 SUR;2651250;centrodeasesoria@hotmail.com;Privada
Centro De Atención E Investigación Medica S.A.S. Caimed S.A.S.;Centro De Atención E Investigación Medica S.A.S. Caimed S.A.S.;KR 42 A # 17 50;2441444;gerencia@caimed.com;Privada
Centro De Atención Integral De Heridas Cronicas Complejas S.A  - Caihcron S.A;Centro De Atención Integral De Heridas Cronicas Complejas S.A  - Caihcron S.A;AK 45 # 103 19;2164344;caihcron@gmail.com;Privada
Centro De Atención Integral Terapeutico Manos Expertas Ltda;Centro De Atención Integral Terapeutico Manos Expertas;CL 121 # 48 84 CA;6376624;manosexpertas@yahoo.com;Privada
Centro De Atención Medica Integral CAMIT SAS;Centro De Atención Medica Integral CAMIT SAS;TV 78 L # 69 B 12 SUR PI 3 Y 4;7196204;camit1936@gmail.com;Privada
Centro De Atención Pulmonar Respiremos S.A.S -Cap Respiremos S.A.S;Centro De Atención Pulmonar Respiremos S.A.S -Cap Respiremos S.A.S;KR 9 B # 117 A 90 SOTANO 1;3107630637;lilianamcampos70@yahoo.com;Privada
Centro De Ayudas Diagnosticas Dentomaxilofaciales Oroservir Ltda;Centro De Ayudas Diagnosticas Dentomaxilofaciales Oroservir Ltda;KR 9 # 49 42 CS 501;2322983;;Privada
Centro De Cirugia Ambulatoria IPS Ltda;Centro De Cirugia Ambulatoria IPS Ltda;CL 89 A # 20 57;6162086;jhmoorep@gmail.com;Privada
Centro De Cirugia Estetica Corpoescultura;Centro De Cirugia Estetica Corpoescultura;AV 15 # 118 41 CS 406;6127564;;Privada
Centro De Cirugia Minima Invasiva SAS Cecimin SAS;Unidad Medica Cecimin Organizacion Sanitas Internacional;AK 45 # 104 76;6002555;jcordero@colsanitas.com.co;Privada
Centro De Coloproctologia Y Endoscopia SAS;Centro De Coloproctologia Y Endoscopia SAS;CL 119 # 07 14 CS 616;2143700;carrerasiachoque@yahoo.com;Privada
Centro De Control De Cancer Ltda;Centro Control De Cancer Country;KR 16 A # 83 11;6185468;centrocontrolcancer@gmail.com;Privada
Centro De Control De Cancer Ltda;Centro De Control De Cancer Ltda;KR 16 A # 83 19;6185475;centrocontrolcancer@hotmail.com;Privada
Centro De Desarrollo Integral De Salud Familiar Juan Pablo II IPS SAS Con Sigla Cedi Salud Familiar Juan Pablo II IPS SAS;Centro De Desarrollo Integral De Salud Familiar Juan Pablo II IPS Eu;CL 27 SUR # 18 02;2392429;;Privada
Centro De Desarrollo Integral De Salud Familiar Juan Pablo II IPS SAS Con Sigla Cedi Salud Familiar Juan Pablo II IPS SAS;Centro De Desarrollo Integral De Salud Familiar Juan Pablo II IPS SAS;CL 27 SUR # 18 C 02;3661905;stellalmanza@yahoo.com;Privada
