,nom_sede_ips,nit_ips,naturaleza,nivel_atencion,grupo_capacidad,descripcion_capacidad,capacidad
1093,CLINICA FEDERMAN,860066191,Privada,,CAMAS,Obstetricia,18.0
1094,MIOCARDIO S.A.S CASTELLANA,900328323,Privada,,CAMAS,Cuidado Intensivo Adulto,18.0
1095,VITALEM IPS SAS,900462440,Privada,,CAMAS,Adultos,18.0
1096,VITALEM IPS SAS,900462440,Privada,,CAMAS,Institución Paciente Crónico,18.0
1097,UNIDAD DE SERVICIOS DE SALUD PERSEVERANCIA,900959051,Pública,3.0,CAMAS,Adultos,18.0
1098,UNIDAD DE SERVICIOS DE SALUD EL CARMEN - MATERNO INFANTIL,900958564,Pública,3.0,CAMAS,Pediátrica,18.0
1099,UNIDAD DE SERVICIOS DE SALUD VISTA HERMOSA,900958564,Pública,3.0,CAMAS,Adultos,18.0
1123,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA UNIDAD FUNCIONAL ZIPAQUIRA,899999032,Pública,2.0,CAMAS,Obstetricia,18.0
1141,CLINICA ESIMED IBAGUE,800215908,Privada,,CAMAS,Obstetricia,18.0
1158,CLINICA ESIMED MATERNO INFANTIL,800215908,Privada,,CAMAS,Cuidado Intermedio Neonatal,17.0
1159,CLINICA ESIMED MATERNO INFANTIL,800215908,Privada,,CAMAS,Cuidado Intensivo Neonatal,17.0
1160,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado Intermedio Neonatal,17.0
1161,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,899999092,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,17.0
1162,CENTRO DE INVESTIGACIONES DEL SISTEMA NERVIOSO LIMITADA - GRUPO CISNE LTDA,830100595,Privada,,CAMAS,Institución Paciente Crónico,17.0
1163,INSTITUTO MEDICO DE ESPECIALISTAS CLINICA DE ESPECIALISTAS CENTROODONTOLOGICO,860074971,Privada,,CAMAS,Adultos,17.0
1164,CLINICA SAN FRANCISCO DE ASIS S.A.S,900613550,Privada,,CAMAS,Cuidado Intermedio Adulto,17.0
1165,U + MOVIL CLINICAL ATTENTION GROUP IPS SA-SIGLA U+MOVIL IPS SA,900753563,Privada,,CAMAS,Cuidado Intensivo Adulto,17.0
1166,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,900578105,Privada,,CAMAS,Cuidado Intensivo Adulto,17.0
1167,UNIDAD DE SERVICIOS DE SALUD VISTA HERMOSA,900958564,Pública,3.0,CAMAS,Pediátrica,17.0
1177,CLINICA ARMENIA ESIMED SEGUNDO PISO PRADO,800215908,Privada,,CAMAS,Adultos,17.0
1178,CLINICA ESIMED PEREIRA,800215908,Privada,,CAMAS,Pediátrica,17.0
1201,CLINICA ESIMED MATERNO INFANTIL,800215908,Privada,,CAMAS,Cuidado básico neonatal,16.0
1202,CLINICA MATERNO INFANTIL EUSALUD,800227072,Privada,,CAMAS,Cuidado Intensivo Neonatal,16.0
1203,EUSALUD CLINICA DE TRAUMATOLOGIA Y ORTOPEDIA,800227072,Privada,,CAMAS,Adultos,16.0
1204,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Cuidado Intermedio Adulto,16.0
1205,CLINICA PALERMO,860006745,Privada,,CAMAS,Cuidado Intensivo Adulto,16.0
1206,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,830099212,Privada,,CAMAS,Cuidado Intensivo Adulto,16.0
1207,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,16.0
1208,CLINICA DEL COUNTRY IPS,830005028,Privada,,CAMAS,Cuidado Intensivo Adulto,16.0
1209,IPS DE LAS AMERICAS,900413988,Privada,,CAMAS,Institución Paciente Crónico,16.0
1210,CLINICA MEDICAL S.A.S.,830507718,Privada,,CAMAS,Cuidado Intensivo Adulto,16.0
1211,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,900959051,Pública,3.0,CAMAS,Cuidado básico neonatal,16.0
1212,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Cuidado básico neonatal,16.0
1213,UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,900971006,Pública,3.0,CAMAS,Cuidado básico neonatal,16.0
1214,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Cuidado básico neonatal,16.0
1236,NUEVA CLINICA SAN SEBASTIAN GIRARDOT,860066191,Privada,,CAMAS,Pediátrica,16.0
1237,NUEVA CLINICA SAN SEBASTIAN GIRARDOT,860066191,Privada,,CAMAS,Obstetricia,16.0
1238,CLINICA ESIMED NUESTRA SEÑORA DEL ROSARIO,800215908,Privada,,CAMAS,Adultos,16.0
1257,CLINICA ESIMED CAÑAVERAL,800215908,Privada,,CAMAS,Obstetricia,16.0
1274,DAVITA POPAYAN,900532504,Privada,,SALAS,Procedimientos,1.0
1288,CLINICA ESIMED JULIO ENRIQUE,800215908,Privada,,CAMAS,Obstetricia,15.0
1291,SOCIEDAD DE ENFERMERAS PROFESIONALES SAS - SEP SAS,860400547,Privada,,CAMAS,Institución Paciente Crónico,15.0
1292,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado básico neonatal,15.0
1293,CLINICA MATERNO INFANTIL EUSALUD,800227072,Privada,,CAMAS,Cuidado básico neonatal,15.0
1294,CLINICA SANTO TOMÁS S.A,860001475,Privada,,CAMAS,Farmacodependencia,15.0
1295,CLINICA PEDIATRICA,800149384,Privada,,CAMAS,Adultos,15.0
1296,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Cuidado Intermedio Neonatal,15.0
1297,FUNDACION PARA LA SALUD LA BIOETICA Y EL MEDIO AMBIENTE FUNSABIAM,830041883,Privada,,CAMAS,Farmacodependencia,15.0
1298,FUNDACION PARA LA SALUD LA BIOETICA Y EL MEDIO AMBIENTE FUNSABIAM,830041883,Privada,,CAMAS,Salud Mental,15.0
1299,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,SALAS,Quirófano,15.0
1300,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Cuidado Intensivo Neonatal,15.0
1301,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,900578105,Privada,,CAMAS,Cuidado Intermedio Adulto,15.0
1317,CLINICA ESIMED POPAYAN,800215908,Privada,,CAMAS,Adultos,15.0
1334,EMMANUEL INSTITUTO DE REHABILITACION Y HABILITACION INFANTIL S.A.S,900259421,Privada,,CAMAS,Cuidado Agudo Mental,15.0
1400,NUEVA CLINICA MAGDALENA,860502092,Privada,,CAMAS,Adultos,14.0
1401,ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR,830090073,Privada,,CAMAS,Institución Paciente Crónico,14.0
1402,CLINICA MATERNO INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Cuidado Intensivo Neonatal,14.0
1403,CLINICA MATERNO INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Cuidado básico neonatal,14.0
1404,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,SALAS,Quirófano,14.0
1405,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,CAMAS,Obstetricia,14.0
1406,CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,,CAMAS,Pediátrica,14.0
1407,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,SALAS,Quirófano,14.0
1408,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,CAMAS,Obstetricia,14.0
1409,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Cuidado Intermedio Adulto,14.0
1410,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,14.0
1411,UNIDAD DE SERVICIOS DE SALUD EL CARMEN - MATERNO INFANTIL,900958564,Pública,3.0,CAMAS,Obstetricia,14.0
1412,Unidad de Servicios de Salud Pablo VI Bosa,900959048,Pública,3.0,CAMAS,Pediátrica,14.0
1437,CLINICA ESIMED SANTA MARTA,800215908,Privada,,CAMAS,Pediátrica,14.0
1484,NUEVA CLINICA MAGDALENA,860502092,Privada,,CAMAS,Obstetricia,13.0
1485,CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,13.0
1486,CLINICA ESIMED SANTA BIBIANA,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,13.0
1487,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,SALAS,Quirófano,13.0
1488,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Unidad de Quemados Pediátrico,13.0
1489,FUNDACION ABOOD SHAIO,860006656,Privada,,CAMAS,Pediátrica,13.0
1490,CLINICA INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Cuidado Intensivo Pediátrico,13.0
1491,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,SALAS,Quirófano,13.0
1492,CLINICA DEL COUNTRY IPS,830005028,Privada,,SALAS,Quirófano,13.0
1493,CLINICA FEDERMAN,860066191,Privada,,CAMAS,Cuidado Intermedio Neonatal,13.0
1494,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,13.0
1495,ADMINISTRADORA CLINICA LA COLINA SAS,900582598,Privada,,CAMAS,Obstetricia,13.0
1496,CLINICA LOS NOGALES SAS,900291018,Privada,,CAMAS,Cuidado Intermedio Adulto,13.0
1497,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Unidad de Quemados Pediátrico,13.0
1498,Unidad de Servicios de Salud Fontibón,900959048,Pública,3.0,CAMAS,Obstetricia,13.0
1522,Clinica Esimed Llanos,800215908,Privada,,CAMAS,Pediátrica,13.0
1539,HOSPITAL ORTOPEDICO CALI SAS,900412444,Privada,,CAMAS,Adultos,13.0
1566,LINDE COLOMBIA AGENCIA REMEO CENTER BARRANQUILLA,860005114,Privada,,CAMAS,Institución Paciente Crónico,12.0
1575,NUEVA CLINICA MAGDALENA,860502092,Privada,,CAMAS,Cuidado Intermedio Adulto,12.0
1576,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Cuidado Intensivo Neonatal,12.0
1577,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,SALAS,Quirófano,12.0
1578,CLINICA DE LA MUJER,800117564,Privada,,CAMAS,Adultos,12.0
1579,CLINICA MATERNO INFANTIL EUSALUD,800227072,Privada,,CAMAS,Cuidado Intermedio Neonatal,12.0
1580,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,,CAMAS,Institución Paciente Crónico,12.0
1581,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,,CAMAS,Cuidado básico neonatal,12.0
1582,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Cuidado Intermedio Neonatal,12.0
1583,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Cuidado básico neonatal,12.0
1584,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Obstetricia,12.0
1585,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Cuidado Intermedio Neonatal,12.0
1586,CLINICA DE MARLY,860002541,Privada,,SALAS,Quirófano,12.0
1587,INSTITUTO DEL CORAZON DE BOGOTA,804014839,Privada,,CAMAS,Cuidado Intermedio Adulto,12.0
1588,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,12.0
1589,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,SALAS,Quirófano,12.0
1590,CLINICA SAN FRANCISCO DE ASIS S.A.S,900613550,Privada,,CAMAS,Cuidado Intensivo Adulto,12.0
1591,NATIONAL CLINICS CENTENARIO SAS,900702981,Privada,,CAMAS,Cuidado Intermedio Adulto,12.0
1592,UNIDAD DE SERVICIOS DE SALUD SAMPER MENDOZA,900959051,Pública,3.0,CAMAS,Adultos,12.0
1593,UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,900971006,Pública,3.0,CAMAS,Cuidado básico neonatal,12.0
1594,UNIDAD DE SERVICIOS DE SALUD EMAUS,900971006,Pública,3.0,CAMAS,Institución Paciente Crónico,12.0
1595,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,12.0
1596,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,12.0
1597,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Cuidado Intermedio Adulto,12.0
1637,HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,,CAMAS,Cuidado Intensivo Pediátrico,12.0
1715,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Cuidado Intermedio Neonatal,11.0
1716,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Cuidado Intensivo Neonatal,11.0
1717,CLINICA COLSUBSIDIO CALLE 100,860007336,Privada,,CAMAS,Cuidado Intensivo Adulto,11.0
1718,EUSALUD CLINICA DE TRAUMATOLOGIA Y ORTOPEDIA,800227072,Privada,,CAMAS,Cuidado Intensivo Adulto,11.0
1719,CLINICA PALERMO,860006745,Privada,,CAMAS,Cuidado Intermedio Neonatal,11.0
1720,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Cuidado Intermedio Neonatal,11.0
1721,CLINICA REINA SOFIA,800149384,Privada,,CAMAS,Cuidado Intermedio Neonatal,11.0
1722,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,11.0
1723,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Obstetricia,11.0
1724,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,SALAS,Quirófano,11.0
1725,SIES SALUD CALI,900123436,Privada,,SALAS,Procedimientos,1.0
1726,Miocardio SAS,900328323,Privada,,CAMAS,Cuidado Intermedio Adulto,11.0
1727,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Cuidado Intermedio Adulto,11.0
1731,"Congregación de Hermanas Franciscanas Misioneras de Maria Auxiliadora, Provincia María Auxiliadora",860028947,Privada,,CAMAS,Obstetricia,11.0
1815,CLINICA ESIMED DE LA 80,800215908,Privada,,CAMAS,Obstetricia,10.0
1816,CLINICA ESIMED DE LA 80,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,10.0
1829,CLINICA ESIMED JULIO ENRIQUE,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,10.0
1857,CLINICA BARRAQUER,860006626,Privada,,CAMAS,Adultos,10.0
1858,FUNDACION HOSPITAL SAN CARLOS,860007373,Privada,,SALAS,Quirófano,10.0
1859,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Adultos,10.0
1860,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1861,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Cuidado Intermedio Adulto,10.0
1862,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Cuidado básico neonatal,10.0
1863,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Obstetricia,10.0
1864,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado Intensivo Neonatal,10.0
1865,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado Intermedio Adulto,10.0
1866,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,SALAS,Procedimientos,10.0
1867,CLINICA DE LA MUJER,800117564,Privada,,CAMAS,Pediátrica,10.0
1868,CLINICA DE LA MUJER,800117564,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1869,CLINICA COLSUBSIDIO CALLE 100,860007336,Privada,,CAMAS,Cuidado Intermedio Adulto,10.0
1870,CLINICA PALERMO,860006745,Privada,,SALAS,Quirófano,10.0
1871,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,,SALAS,Quirófano,10.0
1872,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Pediátrica,10.0
1873,CLINICA DEL COUNTRY IPS,830005028,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1874,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Cuidado Intensivo Neonatal,10.0
1875,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Cuidado Intermedio Adulto,10.0
1876,FUNDACION CRESER,830053316,Privada,,CAMAS,Psiquiatría,10.0
1877,CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1878,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,900098476,Privada,,CAMAS,Cuidado Intensivo Neonatal,10.0
1879,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1880,CLINICA SANTA TERESITA DEL NIÑO JESUS S.A.,900211668,Privada,,CAMAS,Cuidado Intermedio Neonatal,10.0
1881,CLINICA VIP CENTRO DE MEDICINA INTERNACIONAL,900485519,Privada,,CAMAS,Pediátrica,10.0
1882,EPS SANITAS UNIDAD DE URGENCIAS PUENTE ARANDA,800251440,Privada,,CAMAS,Adultos,10.0
1883,CLINICA LOS NOGALES SAS,900291018,Privada,,SALAS,Quirófano,10.0
1884,UNIDAD DE SERVICIOS DE SALUD MATERNO INFANTIL,900959051,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,10.0
1885,UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,900971006,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,10.0
1886,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,900958564,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,10.0
1887,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,10.0
1888,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Cuidado Intermedio Adulto,10.0
1889,UNIDAD DE SERVICIOS DE SALUD MEISSEN,900958564,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,10.0
1890,UNIDAD DE SERVICIOS DE SALUD VENECIA,900958564,Pública,3.0,CAMAS,Adultos,10.0
1891,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,SALAS,Quirófano,10.0
1919,IPS ESIMED TUNJA,800215908,Privada,,CAMAS,Pediátrica,10.0
1973,Clínica ESIMED Neiva,800215908,Privada,,CAMAS,Pediátrica,10.0
2025,SALUS GLOBAL PARTNERS SAI,900268120,Privada,,CAMAS,Pediátrica,10.0
2026,SALUS GLOBAL PARTNERS SAI,900268120,Privada,,CAMAS,Cuidado Intensivo Neonatal,10.0
2027,SALUS GLOBAL PARTNERS SAI,900268120,Privada,,CAMAS,Salud Mental,10.0
2035,CLINICA ESIMED BUCARAMANGA,800215908,Privada,,CAMAS,Pediátrica,10.0
2067,Clinica Esimed Cali Norte,800215908,Privada,,SALAS,Quirófano,10.0
2082,CLINICA ESIMED DE LA 80,800215908,Privada,,SALAS,Quirófano,9.0
2095,CLINICA ESIMED SANTA BIBIANA,800215908,Privada,,CAMAS,Cuidado Intermedio Adulto,9.0
2096,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Cuidado Intensivo Neonatal,9.0
2097,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Cuidado Intermedio Neonatal,9.0
2098,INSTITUTO NACIONAL DE CANCEROLOGIA - EMPRESA SOCIAL DEL ESTADO,899999092,Pública,3.0,SALAS,Quirófano,9.0
2099,INSTITUTO COLOMBIANO DEL SISTEMA NERVIOSO - CLINICA MONTSERRAT,860007400,Privada,,CAMAS,Institución Paciente Crónico,9.0
2100,CLINICA NUEVA,860010783,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2101,CLINICA PARTENON,800085486,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2102,CLINICA MATERNO INFANTIL EUSALUD,800227072,Privada,,CAMAS,Cuidado Intermedio Adulto,9.0
2103,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,,CAMAS,Cuidado Intensivo Pediátrico,9.0
2104,CLINICA JUAN N CORPAS LTDA,830113849,Privada,,CAMAS,Cuidado Intermedio Neonatal,9.0
2105,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Cuidado Intermedio Adulto,9.0
2106,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,SALAS,Quirófano,9.0
2107,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,CAMAS,Cuidado Intermedio Adulto,9.0
2108,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,SALAS,Procedimientos,9.0
2109,CLINICA DE MARLY,860002541,Privada,,CAMAS,Cuidado Intermedio Adulto,9.0
2110,CLINICA DE MARLY,860002541,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2111,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Cuidado Intensivo Neonatal,9.0
2112,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,SALAS,Procedimientos,9.0
2113,INSTITUTO MEDICO DE ESPECIALISTAS CLINICA DE ESPECIALISTAS CENTROODONTOLOGICO,860074971,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2114,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,CAMAS,Obstetricia,9.0
2115,INSTITUTO DEL CORAZON DE BOGOTA,804014839,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2116,CLINICA LOS NOGALES SAS,900291018,Privada,,CAMAS,Cuidado Intermedio Neonatal,9.0
2117,Clinica Dhara,900067918,Privada,,CAMAS,Adultos,9.0
2118,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,9.0
2119,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,9.0
2120,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,CAMAS,Cuidado Intensivo Pediátrico,9.0
2121,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,SALAS,Procedimientos,9.0
2122,Unidad de Servicios de Salud Pablo VI Bosa,900959048,Pública,3.0,CAMAS,Adultos,9.0
2137,CLINCA ESIMED MANIZALES,800215908,Privada,,CAMAS,Cuidado Intermedio Adulto,9.0
2138,CLINCA ESIMED MANIZALES,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2196,SALUS GLOBAL PARTNERS SAI,900268120,Privada,,CAMAS,Obstetricia,9.0
2201,CLINICA ESIMED CAÑAVERAL,800215908,Privada,,CAMAS,Pediátrica,9.0
2210,Clinica Esimed Cali Sur,800215908,Privada,,CAMAS,Cuidado Intensivo Adulto,9.0
2277,CLINICA ESIMED JORGE PIÑEROS CORPAS,800215908,Privada,,CAMAS,Cuidado Intermedio Adulto,8.0
2278,LA FONT CLÍNICA DE CIRUGÍA ESTETICA,860073087,Privada,,CAMAS,Adultos,8.0
2279,Centro de Atención en Salud Cafam Clínica,860013570,Privada,,CAMAS,Cuidado Intensivo Adulto,8.0
2280,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Obstetricia,8.0
2281,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Cuidado Intensivo Pediátrico,8.0
2282,FUNDACION ABOOD SHAIO,860006656,Privada,,SALAS,Quirófano,8.0
2283,CLINICA PARTENON,800085486,Privada,,CAMAS,Cuidado Intermedio Adulto,8.0
2284,CLINICA INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Adultos,8.0
2285,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,860013874,Privada,,CAMAS,Cuidado Intermedio Neonatal,8.0
2286,CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES,800201496,Privada,,CAMAS,Adultos,8.0
2287,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Cuidado Intensivo Neonatal,8.0
2288,CENTRO POLICLINICO DEL OLAYA,800149453,Privada,,CAMAS,Cuidado Intensivo Adulto,8.0
2289,CLINICA REINA SOFIA,800149384,Privada,,SALAS,Quirófano,8.0
2290,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Cuidado Intermedio Adulto,8.0
2291,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,SALAS,Quirófano,8.0
2292,CLINICA DE MARLY,860002541,Privada,,CAMAS,Pediátrica,8.0
2293,CLINICA DEL OCCIDENTE S.A.,860090566,Privada,,CAMAS,Cuidado Intermedio Neonatal,8.0
2294,CLINICA UNIVERSITARIA EL BOSQUE,830138802,Privada,,CAMAS,Cuidado Intermedio Adulto,8.0
2295,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,8.0
2296,CLINICA GENERAL DE LA 100 SAS Y PODRA ANUNCIARSE CON LAS SIGLAS CLINI100 SAS,900328772,Privada,,CAMAS,Cuidado Intensivo Adulto,8.0
2297,MIOCARDIO S.A.S CASTELLANA,900328323,Privada,,CAMAS,Cuidado Intermedio Adulto,8.0
2298,CLINICA LOS NOGALES SAS,900291018,Privada,,CAMAS,Pediátrica,8.0
2299,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Cuidado Intermedio Pediátrico,8.0
2300,UNIDAD DE SERVICIOS DE SALUD ALTAMIRA,900959051,Pública,3.0,CAMAS,Adultos,8.0
2301,UNIDAD DE SERVICIOS DE SALUD CHIRCALES,900959051,Pública,3.0,CAMAS,Adultos,8.0
2303,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Cuidado Intermedio Neonatal,8.0
2304,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Cuidado Intensivo Neonatal,8.0
2305,UNIDAD DE SERVICIOS DE SALUD VICTORIA,900959051,Pública,3.0,CAMAS,Cuidado Intensivo Adulto,8.0
2306,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,900971006,Pública,3.0,SALAS,Quirófano,8.0
