,direccion,clase_de_prestador,nit_ips,codigo_de_habilitacion,id_ips,nombre_ips,longitud_ips,latitud_ips,capacidad
154,KR 92 # 151 - 01 LC 201,Instituciones - IPS,860007336,110010817143,1828,CENTRO MEDICO COLSUBSIDIO SUBA,-74.0845232701902,4.747080859957889,48.0
155,"CL 147 # 101 - 56 Locales 324, 325, 329 y 330.",Instituciones - IPS,860007336,110010817146,1968,PUNTO DE ATENCION EN SALUD SUBA,-74.09287068979641,4.744519389842132,48.0
156,KR 43 # 13 66/70,Instituciones - IPS,860007336,110010817149,2270,CENTRO INTEGRAL DE DIAGNOSTICO COLSUBSIDIO,-74.1012636602757,4.623900399813387,48.0
157,Cl 54 F Sur # 93 C 18 LC 251,Instituciones - IPS,860007336,110010817150,2276,CENTRO MEDICO COLSUBSIDIO PORVENIR,-74.18861664968222,4.634831330031601,48.0
158,Cra. 7 No 6 C 54 Piso 3,Instituciones - IPS,860007336,110010817152,2598,CONSULTORIO DE EMPRESA DIAN NIVEL CENTRAL,-74.07731458019099,4.593911759664639,48.0
159,CARRERA 111 A NO 86 74 LOCAL 101,Instituciones - IPS,860007336,110010817153,2758,CONSULTORIO MÉDICO COLSUBSIDIO UNICENTRO OCCIDENTE,-74.11265413009339,4.722307100406986,48.0
160,CALLE 67 # 10 - 27,Instituciones - IPS,860007336,110010817102,566,CLINICA INFANTIL COLSUBSIDIO,-74.06108623969888,4.65211829006517,48.0
161,KR 106 # 15 A 25,Instituciones - IPS,860007336,110010817115,846,CENTRO MEDICO COLSUBSIDIO ZONA FRANCA,-74.16076575961877,4.673726720112865,48.0
162,KR 13 # 27 47,Instituciones - IPS,860007336,110010817121,957,CONSULTORIO DE EMPRESA AV VILLAS Y BANCO DE OCCIDENTE,-74.07101383002582,4.614649049869194,48.0
163,CL 36 # 7 47 PI 3,Instituciones - IPS,860007336,110010817122,958,CONSULTORIO DE EMPRESA BANCO DE BOGOTA,-74.06737001978999,4.623381439622632,48.0
164,CALLE 152 # 53 A 05 PISO 3,Instituciones - IPS,860007336,110010817142,1719,SALUD PREFERENCIAL MAZUREN,-74.05460332017728,4.73502046016168,48.0
165,KR 13 A 35 38 Piso 5 Edificio torre B-35,Instituciones - IPS,860007336,110010817147,2128,CONSULTORIO DE EMPRESA BANCO DE BOGOTA 2,-74.06825412013306,4.623526090222103,48.0
166,AC 26 # 68 B 70,Instituciones - IPS,860007336,110010817148,2146,CONSULTORIO DE EMPRESA EL TIEMPO,-74.10466400012008,4.657760640309536,48.0
167,AC 100 # 23 - 59,Instituciones - IPS,860007336,110010817151,2468,CLINICA COLSUBSIDIO CALLE 100,-74.05670869991202,4.686158609669497,48.0
168,CALLE 116 16 27 PISO 2,Instituciones - IPS,860007336,110010817154,2759,CONSULTORIO MÉDICO COLSUBSIDIO CALLE 116,-74.04556828962842,4.696674820155283,48.0
169,KR 91 # 145 A 47 LC 153/154,Instituciones - IPS,860007336,110010817155,2828,CONSULTORIO MÉDICO COLSUBSIDIO SUBAZAR,-74.08509047993532,4.738748300116267,48.0
170,KR 80 # 170 85,Instituciones - IPS,800118223,110010868401,578,ATARDECER DE LOS AÑOS LTDA,-74.07019782018467,4.764073170272862,20.0
171,Calle 6 A # 70 - 06,Instituciones - IPS,800201496,110010843701,582,CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES,-74.13091696965107,4.630525799943978,8.0
172,KR 111 # 159 A 61,Instituciones - IPS,830113849,110010910401,604,CLINICA JUAN N CORPAS LTDA,-74.09317782019878,4.761183500429389,48.0
173,KR 92 # 145-61,Instituciones - IPS,830113849,110010910403,1407,CENTRO MEDICO CORPAS SUBA,-74.08570300968653,4.738922719707077,48.0
174,CRA 21 NO. 22-68 SUR,Instituciones - IPS,800149453,110010917802,638,CENTRO POLICLINICO DEL OLAYA,-74.10503359038418,4.584190979567926,113.0
175,TV 14 48 36 SUR,Instituciones - IPS,800149453,110010917804,639,DONTOLUCIA,-74.12591736000469,4.568677029582435,113.0
176,Avenida Américas N° 66 a - 27 segundo piso,Instituciones - IPS,800149453,110010917803,5,ODONTOAMERICAS,-74.12237243002713,4.626095518688988,113.0
177,CRA 20 # 23-04 SUR,Instituciones - IPS,800149453,110010917816,1978,TORRE 6 - CPO,-74.10539564018977,4.58297406003962,113.0
178,CRA 45 No 93-79,Instituciones - IPS,800149453,110010917807,640,CASTELLANA CPO,-74.05869255016525,4.681476120233066,113.0
179,KR 49 # 98 A 18,Instituciones - IPS,800149453,110010917809,1271,CALLE 98,-74.06077298997279,4.686697000173688,113.0
180,Avenida Caracas No. 49-83 Primer Piso Consultorio 113,Instituciones - IPS,800149453,110010917814,1655,CHAPINERO CPO,-74.06693973036217,4.637257690302247,113.0
181,CRA 13 # 48 63,Instituciones - IPS,860002541,110010936106,667,UNIMARLY,-74.06618467031473,4.635974730060717,87.0
182,AK 19 N° 120 - 71 Of 101,Instituciones - IPS,860002541,110010936107,2004,SERVICIO DE OTORRINOLARINGOLOGIA - 122,-74.04981230023819,4.701329399863741,87.0
183,CL 50 # 9 67,Instituciones - IPS,860002541,110010936101,664,CLINICA DE MARLY,-74.06506208972162,4.636624950232704,87.0
184,CL 50 # 9 16,Instituciones - IPS,860002541,110010936103,665,SERVICIO DE RESONANCIA MAGNETICA,-74.06451880031588,4.637409059640654,87.0
185,"CALLE 50 # 7 36, PISO 7, PISO 5, PISO 2 CONSULTORIOS 2, 3, 5",Instituciones - IPS,860002541,110010936105,666,CLINICA DE MARLY S.A,-74.06397051987042,4.636920239627493,87.0
186,CARRERA 13 No. 50A-04,Instituciones - IPS,860002541,110010936108,2200,CLINICA DE MARLY - REHABILITACION,-74.065109650126,4.6374515997759325,87.0
187,AV DE LAS AMERICAS # 71 C 29,Instituciones - IPS,860090566,110010966601,675,CLINICA DEL OCCIDENTE S.A.,-74.13567718995233,4.62937468005086,115.0
188,CRA 8 # 0 29 SUR,Instituciones - IPS,899999032,110010922401,676,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,-74.08371026970525,4.587218050013217,149.0
189,CRA 13 # 51 - 87,Instituciones - IPS,860066191,110011005803,700,CENTRO MEDICO FEDERMAN CHAPINERO,-74.0655482301056,4.6390645200392,112.0
190,CRA 73 # 6 - 08 SUR,Instituciones - IPS,860066191,110011005805,701,CENTRO MEDICO FEDERMAN KENNEDY,-74.14262040981879,4.621252370100685,112.0
191,TV 76 # 83 79,Instituciones - IPS,860066191,110011005807,842,CENTRO MEDICO MINUTO DE DIOS,-74.09258275010345,4.7045697697499005,112.0
192,CL 6 C# 69 A 57 CS 101-102-201-202-203-204-205-206-301-302-303-304,Instituciones - IPS,860066191,110011005810,1051,CENTRO MEDICO MEDICOS ASOCIADOS PAEZ,-74.12886290977018,4.63093841030576,112.0
193,KR 36 # 25 D 14,Instituciones - IPS,860066191,110011005813,1139,INSTITUTO MEDICO DE ESPECIALISTAS FUNDADORES,-74.08477795964124,4.631326510235546,112.0
194,"DIAGONAL 45 D 20-22 CONSULTORIOS 1,2,3",Instituciones - IPS,860066191,110011005815,2179,MEDICOS ASOCIADOS SALUD OCUPACIONAL,-74.0853941599087,4.630269529588285,112.0
195,CALLE 58 A # 37 10,Instituciones - IPS,860066191,110011005802,699,CLINICA FEDERMAN,-74.08143181964954,4.649830459785392,112.0
196,KR 36 # 25 C 15,Instituciones - IPS,860066191,110011005806,702,CLINICA FUNDADORES,-74.08546018967535,4.6312619898882925,112.0
197,CL 136 # 17 A 73,Instituciones - IPS,860066191,110011005811,1052,CENTRO MEDICO MEDICOS ASOCIADOS NUEVO NORTE,-74.04521517985654,4.720030790084994,112.0
198,TV 3 No49-00,Instituciones - IPS,830040256,110011693801,972,HOSPITAL MILITAR CENTRAL,-74.06065923990161,4.635200909632,294.0
199,CL 24 # 29 45,Instituciones - IPS,900210981,110011864201,1197,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,-74.08253638003805,4.622837539673342,452.0
200,CL 66 A # 52 25,Instituciones - IPS,900210981,110011864202,1198,HOSPITAL UNIVERSITARIO BARRIOS UNIDOS-MEDERI,-74.08011196003687,4.66368483004687,452.0
201,KR 78 # 3 A 40,Instituciones - IPS,800227072,110010822203,1251,EUSALUD CLINICA DE TRAUMATOLOGIA Y ORTOPEDIA,-74.14490833979569,4.627646470065485,16.0
202,CL 97 N° 23-37 LOCAL 205,Instituciones - IPS,800227072,110010822206,171,EUSALUD LABORATORIO CLÍNICO,-74.05690277284431,4.684613067849215,16.0
203,DG 54 # 16 A 16,Instituciones - IPS,800227072,110010822201,558,CLINICA MATERNO INFANTIL EUSALUD,-74.06868436015357,4.642465830032938,16.0
204,KR 1 # 20 19,Instituciones - IPS,860013874,110010825802,1448,CASA ESPINOSA,-74.06623545028111,4.603186989913031,5.0
205,"Av. Carrera 68 No.31-41 sur. Consultorio No.6, Primer Piso.",Instituciones - IPS,860013874,110010825804,2204,SEDE ALQUERIA,-74.13063872008509,4.60687358960855,5.0
206,CRA 4 ESTE # 17 50 AV CIRCUNVALAR,Instituciones - IPS,860013874,110010825801,573,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,-74.06431873023074,4.597794169584346,5.0
207,"Av. Carrera 45 No.145-64 Consultorio No.205, Segundo Piso.",Instituciones - IPS,860013874,110010825803,2203,SEDE NORTE,-74.0499315902197,4.727769820241979,5.0
208,"Av. Carrera 68 No. 68b-31. Primer piso, consultorio 106",Instituciones - IPS,860013874,110010825805,2216,SEDE AVENIDA 68,-74.09500128973275,4.681180999965119,5.0
209,CARRERA 54 # 65-85,Instituciones - IPS,860013874,110010825806,2318,SEDE PROPACE,-74.08099485034924,4.6641626599836705,5.0
210,CALLE 42 #13 A -11,Instituciones - IPS,900348937,110012198701,1639,ESENCIAL IPS,-74.06760119044858,4.629778999826971,26.0
211,Cra. 59 No. 26 21 CAN,Instituciones - IPS,830041314,110012311801,1791,HOSPITAL CENTRAL POLICIA NACIONAL,-74.09768798006766,4.647409079773638,232.0
212,CALLE 44 # 50-51 CAN,Instituciones - IPS,830041314,110012311802,1792,CONSULTA EXTERNA- HOSPITAL CENTRAL POLICIA NACIONAL,-74.0913354195685,4.6425282998596575,232.0
213,CL 44 # 58 05,Instituciones - IPS,830041314,110012311805,2782,CIRUGIA AMBULATORIA HOSPITAL CENTRAL DE LA POLICIA,-74.09489379013935,4.6476849800807924,232.0
214,Carrera 68B Bis No. 44 - 58 Torre B,Instituciones - IPS,830041314,110012311804,2570,Establecimiento de Sanidad Policial de Mediana Complejidad ESPAM BG. Edgar Yesid Duarte Valero Torre B,-74.10395936969607,4.656401329677573,232.0
215,CARRERA 14 # 76-25 CONSULTORIO 602,Instituciones - IPS,800210375,110010784305,1895,PROCARDIO NOGAL,-74.05856576014942,4.6628784397532215,134.0
216,CALLE 40 A No 13-09 Piso 22 y Piso 17 Oficina 1702,Instituciones - IPS,860015536,110010945608,1958,CONSULTORES EN PSICOLOGIA HUSI,-74.06703130013067,4.6284055499642776,195.0
217,DIAGONAL 40 A No 14 - 92,Instituciones - IPS,860015536,110010945609,2795,CENTRO DE ATENCIÓN INTEGRAL EN CUIDADOS PALIATIVOS,-74.06930759961958,4.628854679853202,195.0
218,KR 7 # 40 B - 17 Sótano 1,Instituciones - IPS,860015536,110010945604,20,PUNTO DE TOMA DE MUESTRAS TEUSAQUILLO,-74.06563516636385,4.627654403192802,195.0
219,AK 45 Nº 123-24 Sótano CS 8 Piso 1,Instituciones - IPS,860015536,110010945606,1481,PUNTO DE TOMA DE MUESTRAS SANTA BARBARA,-74.05385317032116,4.704346010203197,195.0
220,CLL 93 No 19 B - 94,Instituciones - IPS,860015536,110010945607,1777,INTELLECTUS CENTRO DE MEMORIA Y COGNICION,-74.05648680974865,4.679366490069415,195.0
221,KR 7 # 43 - 82 EDF 53 JESÚS EMILIO RAMIREZ LAB 303 A,Instituciones - IPS,860015536,110010945610,136,HOSPITAL UNIVERSITARIO SAN IGNACIO LABORATORIO CLINICO DE ERRORES INNATOS DEL METABOLISMO,-74.06344857713077,4.630614338114498,195.0
222,CRA 7 # 40 62,Instituciones - IPS,860015536,110010945601,668,HOSPITAL UNIVERSITARIO SAN IGNACIO,-74.06429083035465,4.628459450401097,195.0
223,CR 89 A NO. 79 51 P 4,Instituciones - IPS,800251440,110012482601,2000,UNIDAD DE ATENCION PRIMARIA CALLE 80,-74.10315295026888,4.7047771400743805,10.0
224,CR 70 C NO. 115 A 15,Instituciones - IPS,800251440,110012482606,2003,UNIDAD DE ATENCION PRIMARIA MORATO,-74.07204376017717,4.698928079636221,10.0
225,AC 13 NO. 65-21 LC 100 CC CENTENARIO ZONA INDUSTRIAL,Instituciones - IPS,800251440,110012482615,2566,EPS SANITAS CENTRO MEDICO CALLE 13,-74.1160588501231,4.63426463986116,10.0
226,AV SUBA CL 145 NO. 88 76,Instituciones - IPS,800251440,110012482603,36,UNIDAD DE ATENCION PRIMARIA SUBA,-74.08353829173568,4.737664289640285,10.0
227,CR 7 N 124 45,Instituciones - IPS,800251440,110012482610,39,UNIDAD DE ATENCION PRIMARIA USAQUEN,-74.02912327099821,4.700167237100867,10.0
228,CR 49 B NO. 94 - 40,Instituciones - IPS,800251440,110012482618,131,EPS SANITAS CENTRO MEDICO CASTELLANA,-74.06247239857277,4.683142918090392,10.0
229,CR 21 NO. 166 34,Instituciones - IPS,800251440,110012482602,2001,UNIDAD DE ATENCION PRIMARIA TOBERIN,-74.04415845026533,4.746944489873148,10.0
230,CL 166 N 22 68 P 1,Instituciones - IPS,800251440,110012482607,2106,UNIDAD DE SALUD MENTAL TOBERIN,-74.04589329021674,4.7471197703991574,10.0
231,AK 45 NO. 123 14,Instituciones - IPS,800251440,110012482611,2235,UNIDAD DE ATENCION PRIMARIA SANTA BARBARA,-74.05365313976192,4.704355659628111,10.0
232,CL 14 NO. 62 - 04 Y CR 62 NO. 14 - 41,Instituciones - IPS,800251440,110012482616,2734,EPS SANITAS UNIDAD DE URGENCIAS PUENTE ARANDA,-74.11251074010943,4.634057570132011,10.0
233,CR 18 NO. 16 - 46 SUR,Instituciones - IPS,800251440,110012482617,2790,EPS SANITAS CENTRO MEDICO RESTREPO,-74.10022842018273,4.585568210319045,10.0
234,CL 36 NO. 28 - 42/ 50,Instituciones - IPS,800251440,110012482604,2002,UNIDAD DE ATENCION PRIMARIA SOLEDAD,-74.07742565957082,4.625759240125218,10.0
235,CR 23 NO. 45 C - 31 P CONSULTORIOS 312-313-314-317-315 -,Instituciones - IPS,800251440,110012482613,2266,EPS SANITAS CENTRO MEDICO PALERMO,-74.07449821984144,4.6361588596939365,10.0
236,AK 45 N°103 59,Instituciones - IPS,900576488,110012522701,2083,CLINICA SANTA MARGARITA S.A.S.,-74.0571999400319,4.690500680237241,25.0
237,Calle 119 No. 7-74 Segundo Piso Consultorio 5 y 6,Instituciones - IPS,860037950,110010561809,2127,Centro de Telesalud,-74.03300290965737,4.6964238696281315,216.0
238,Calle 119 A N. 7-57,Instituciones - IPS,860037950,110010561811,2529,Unidad Materno Fetal,-74.03251789037087,4.696531360135851,216.0
239,CL 119 # 7 75,Instituciones - IPS,860037950,110010561801,390,FUNDACION SANTA FE DE BOGOTA,-74.03319863009992,4.695590700123317,216.0
240,calle 119 No. 7-14 (Segundo Piso),Instituciones - IPS,860037950,110010561808,2101,Centro integral diagnostico de la mujer,-74.0322896302538,4.696165870317598,216.0
241,AV 15 # 123 - 30 LC 2 PI 1 BL 5,Instituciones - IPS,860037950,110010561805,792,FUNDACION SANTA FE DE BOGOTA - CENTRO DE ATENCION PRIORITARIA,-74.04115094998289,4.702134470042189,216.0
242,"Calle 119 # 7- 74 Piso 2- Consultorio 1,2,3 y 4",Instituciones - IPS,860037950,110010561806,826,CENTRO DE ESTUDIOS E INVESTIGACIONES EN SALUD,-74.03283314962825,4.696457609872594,216.0
243,Calle 119 No. 7-90,Instituciones - IPS,860037950,110010561810,2145,EL INSTITUTO DE ONCOLOGIA CARLOS ARDILA LULLE,-74.03308562024054,4.696551880389845,216.0
244,CARRERA 28 No 63 SUR 20,Instituciones - IPS,900536325,110012427903,2514,PSQ SEDE 4,-74.14904211005211,4.5691509100486565,24.0
245,Carrera 40 No 24 D 07,Instituciones - IPS,900536325,110012427901,1919,PSQ SAS,-74.09070591974327,4.632545090304815,24.0
246,KRA 28 N° 63 A SUR - 40,Instituciones - IPS,900536325,110012427902,2406,PSQ SAS SEDE 2,-74.14924090003797,4.568860009841193,24.0
247,Autopista Norte Nº 118 - 79 consultorio 11,Instituciones - IPS,900536325,110012427905,2668,PSQ SEDE 7,-74.05522037025098,4.701507079667886,24.0
248,Calle 127 Nº 16 A - 27 Consultorio 408,Instituciones - IPS,900536325,110012427904,2660,PSQ SEDE 6,-74.0448741398488,4.703991669942181,24.0
249,DIAGONAL 40A No. 13A-32,Instituciones - IPS,860005114,110011509904,2581,LINDE COLOMBIA AGENCIA LISA TEUSAQUILLO,-74.06807706039393,4.627898629756284,2.0
250,Calle 101 No.45a-42,Instituciones - IPS,860005114,110011509903,1788,LINDE COLOMBIA AGENCIA PROGRAMA LISA BOGOTA,-74.05802965007945,4.687808300415578,2.0
251,AK 14 No. 40A- 04,Instituciones - IPS,860005114,110011509902,1401,LINDE COLOMBIA AGENCIA REMEO CENTER BOGOTA,-74.0682379998653,4.6279900397597356,2.0
252,CL 6 A # 70 - 94,Instituciones - IPS,900412444,110012213903,2619,HOSPITAL ORTOPÉDICO 3,-74.13167273038445,4.630601020186481,40.0
253,AC 57 # 26 12,Instituciones - IPS,900412444,110012213901,1656,IPS HOSPITAL ORTOPEDICO SAS,-74.07387002975989,4.645662319889274,40.0
254,calle 6 a no 70b-06,Instituciones - IPS,900412444,110012213904,2817,HOSPITAL ORTOPEDICO SAS AMERICAS SEDE 2,-74.13191414004064,4.63053400971239,40.0
255,TRANSVERSAL 5 ESTE NUMERO 19-50 SUR,Instituciones - IPS,900959051,110013028902,2837,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,-74.08337294962112,4.5696833801320045,139.0
256,CARRERA 3 A ESTE NUMERO 31 C-21 SUR,Instituciones - IPS,900959051,110013028905,2840,UNIDAD DE SERVICIOS DE SALUD BELLO HORIZONTE,-74.09263136962156,4.559814949714455,139.0
257,CALLE 22 SUR NUMERO 8-A-58,Instituciones - IPS,900959051,110013028906,2841,UNIDAD DE SERVICIOS DE SALUD PRIMERO DE MAYO,-74.09365779993657,4.575299280174812,139.0
258,KR 1 F NUMERO 48 X- 40 SUR,Instituciones - IPS,900959051,110013028918,2848,UNIDAD DE SERVICIOS DE SALUD DIANA TURBAY,-74.10645674008484,4.545560369785537,139.0
259,DIAGONAL 45 BIS B SUR NUMERO 13 F-72,Instituciones - IPS,900959051,110013028924,79,UNIDAD DE SERVICIOS DE SALUD SAN JORGE,-74.12089984513807,4.571693366443748,139.0
260,CALLE 11 SUR NUMERO 1 B-10 E,Instituciones - IPS,900959051,110013028903,2838,UNIDAD DE SERVICIOS DE SALUD DESPERTAR,-74.08032944037053,4.574823999704225,139.0
261,CARRERA 12 A ESTE NUMERO 42-32 SUR,Instituciones - IPS,900959051,110013028904,2839,UNIDAD DE SERVICIOS DE SALUD ALTAMIRA,-74.08474815982832,4.546063280235516,139.0
262,CARRERA 5 NUMERO 33 A-45,Instituciones - IPS,900959051,110013028915,2845,UNIDAD DE SERVICIOS DE SALUD PERSEVERANCIA,-74.06550890006582,4.619988159994673,139.0
263,CARRERA 23 NUMERO 22 A -26,Instituciones - IPS,900959051,110013028916,2846,UNIDAD DE SERVICIOS DE SALUD SAMPER MENDOZA,-74.08104275031683,4.616991209597648,139.0
264,CARRERA 21 NUMERO 22-51 SUR,Instituciones - IPS,900959051,110013028920,2850,UNIDAD DE SERVICIOS DE SALUD OLAYA,-74.10503359038418,4.584190979567926,139.0
265,CALLE 35 B SUR NUMERO 25 A-37,Instituciones - IPS,900959051,110013028921,2851,UNIDAD DE SERVICIOS DE SALUD BRAVO PAEZ,-74.1201061701098,4.583690800072523,139.0
266,CALLE 31 B SUR NUMERO 23 B-14,Instituciones - IPS,900959051,110013028923,2852,UNIDAD DE SERVICIOS DE SALUD QUIROGA,-74.11348589009643,4.58207931037765,139.0
267,CARRERA 32 NUMERO 12-81 Edificio Hemocentro piso 4,Instituciones - IPS,900959051,110013028927,2854,UNIDAD DE SERVICIOS DE SALUD CITOCENTRO,-74.09393823959522,4.615242650043968,139.0
268,CALLE 37 BIS B SUR NUMERO 3-25 ESTE,Instituciones - IPS,900959051,110013028907,76,UNIDAD DE SERVICIOS DE SALUD LA VICTORIA 1,-74.09403615596118,4.553549051329619,139.0
269,TRANSVERSAL 10 B ESTE NUMERO 36 D-13 SUR,Instituciones - IPS,900959051,110013028908,77,UNIDAD DE SERVICIOS DE SALUD LOS ALPES,-74.08367757911375,4.553906204410285,139.0
270,CALLE 1 C NUMERO 5 A 30,Instituciones - IPS,900959051,110013028911,78,UNIDAD DE SERVICIOS DE SALUD CRUCES,-74.07947713499863,4.586664690759057,139.0
271,CARRERA 14 B NUMERO 1-45 SUR,Instituciones - IPS,900959051,110013028901,2836,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,-74.0923850596555,4.591215189668986,139.0
272,KR 3 # 12 D 23,Instituciones - IPS,900959051,110013028910,2842,UNIDAD DE SERVICIOS DE SALUD LA CANDELARIA,-74.06957444956463,4.599774939787407,139.0
273,CARRERA 18 A NUMERO 3 A 27,Instituciones - IPS,900959051,110013028912,2843,UNIDAD DE SERVICIOS DE SALUD LA FAYETTE,-74.0899195201705,4.596841470437384,139.0
274,CARRERA 18 NUMERO 8 -99,Instituciones - IPS,900959051,110013028914,2844,UNIDAD DE SERVICIOS DE SALUD RICAURTE,-74.08620537993276,4.602154190220593,139.0
275,CL 6 NUMERO 4 A 26 ESTE,Instituciones - IPS,900959051,110013028917,2847,UNIDAD DE SERVICIOS DE SALUD JORGE ELIECER GAITAN,-74.06988044000491,4.589946600328997,139.0
276,TRANSVERSAL 5 L BIS NUMERO 48 F- 69 SUR,Instituciones - IPS,900959051,110013028919,2849,UNIDAD DE SERVICIOS DE SALUD CHIRCALES,-74.11223316966979,4.557681369862528,139.0
277,CALLE 49 A NUMERO 16-63,Instituciones - IPS,900959051,110013028926,2853,UNIDAD DE SERVICIOS DE SALUD CRONICOS,-74.06955716957181,4.637311690346207,139.0
278,KR 10 NUMERO 1-66 SUR,Instituciones - IPS,900959051,110013028928,2855,UNIDAD DE SERVICIOS DE SALUD MATERNO INFANTIL,-74.08535754008615,4.588157530147656,139.0
279,DIAGONAL 39 SUR NUMERO 3-20 ESTE,Instituciones - IPS,900959051,110013028929,2856,UNIDAD DE SERVICIOS DE SALUD VICTORIA,-74.0943908602427,4.552774260285198,139.0
280,CARRERA 12 D NUMERO 26 A -62 SUR,Instituciones - IPS,900959051,110013028925,2857,UNIDAD DE SERVICIOS DE SALUD SAN JOSE OBRERO,-74.10223633989568,4.575949719690311,139.0
281,KR 18 A BIS No. 60 G 84 SUR,Instituciones - IPS,900958564,110013029403,2889,UNIDAD DE SERVICIOS DE SALUD MEISSEN AMBULATORIO,-74.13861296964079,4.558964569589748,108.0
282,CL 48 A SUR No. 28 - 48,Instituciones - IPS,900958564,110013029408,2894,UNIDAD DE SERVICIOS DE SALUD EL CARMEN - SALUD ORAL,-74.13151052967842,4.583265019879038,108.0
283,CL 57 SUR No. 67 - 27,Instituciones - IPS,900958564,110013029411,2897,UNIDAD DE SERVICIOS DE SALUD ISLA DEL SOL,-74.15740286964028,4.5955130998430045,108.0
284,KR 12 No. 53 - 90 SUR,Instituciones - IPS,900958564,110013029412,2898,UNIDAD DE SERVICIOS DE SALUD AMBULATORIA - ABRAHAM LINCON,-74.12597813013535,4.559092800426431,108.0
285,CL 76 B SUR No. 7 - 64,Instituciones - IPS,900958564,110013029433,2912,UNIDAD DE SERVICIOS DE SALUD BETANIA,-74.11030371959353,4.512121360347424,108.0
286,KR 1 D ESTE No. 65 G - 08 SUR,Instituciones - IPS,900958564,110013029443,2920,UNIDAD DE SERVICIOS DE SALUD FISCALA,-74.11455370040667,4.5328521496792895,108.0
287,CL 75 SUR No. 9 A - 39,Instituciones - IPS,900958564,110013029444,2921,UNIDAD DE SERVICIOS DE SALUD SANTA LIBRADA II,-74.11340853976057,4.515111020447056,108.0
288,KR 4 No. 3 - 29 PASQUILLA,Instituciones - IPS,900958564,110013029418,2968,UNIDAD DE SERVICIOS DE SALUD MOCHUELO,-74.14830369039699,4.4885344498823505,108.0
289,KR 18 C No. 66 A - 55 SUR,Instituciones - IPS,900958564,110013029428,2969,UNIDAD DE SERVICIOS DE SALUD VISTA HERMOSA,-74.14464843023455,4.552677169566119,108.0
290,KR 18 A BIS No. 60 G 20 SUR,Instituciones - IPS,900958564,110013029404,2890,UNIDAD DE SERVICIOS DE SALUD MEISSEN APOYO DIAGNOSTICO,-74.13794207993882,4.559271879763097,108.0
291,AK 54 No. 47A - 08 SUR,Instituciones - IPS,900958564,110013029405,2891,UNIDAD DE SERVICIOS DE SALUD VENECIA,-74.14151263974978,4.593079309850445,108.0
292,AV CARACAS No. 51 - 21 SUR,Instituciones - IPS,900958564,110013029407,2893,UNIDAD DE SERVICIOS DE SALUD AMBULATORIA TUNJUELITO,-74.12548772005881,4.564123140389322,108.0
293,DG 53 SUR No. 59 A - 11,Instituciones - IPS,900958564,110013029409,2895,UNIDAD DE SERVICIOS DE SALUD NUEVO MUZÚ,-74.14810165030643,4.5848294201503474,108.0
294,CL 58 SUR No. 19 B - 25,Instituciones - IPS,900958564,110013029410,2896,UNIDAD DE SERVICIOS DE SALUD SAN BENITO,-74.1370072301721,4.5654103402896915,108.0
295,DG 70 No. 56 - 56 SUR,Instituciones - IPS,900958564,110013029419,2900,UNIDAD DE SERVICIOS DE SALUD SIERRA MORENA,-74.16574274968629,4.578522830021946,108.0
296,KR 42 No. 77 - 80 SUR,Instituciones - IPS,900958564,110013029421,2901,UNIDAD DE SERVICIOS DE SALUD POTOSÍ,-74.16851241021746,4.567966700352127,108.0
297,CL 75 BIS A SUR No. 25 - 48,Instituciones - IPS,900958564,110013029422,2902,UNIDAD DE SERVICIOS DE SALUD CASA DE TEJA,-74.15556075018267,4.541858909817662,108.0
298,CL 67 SUR No. 20 A - 51,Instituciones - IPS,900958564,110013029423,2903,UNIDAD DE SERVICIOS DE SALUD SAN FRANCISCO,-74.14941662038899,4.562345250070448,108.0
299,TV 36 No. 59 B - 59 SUR,Instituciones - IPS,900958564,110013029426,2906,UNIDAD DE SERVICIOS DE SALUD CANDELARIA II,-74.14978541025417,4.571916950427048,108.0
300,CL 64 C SUR No. 27 - 32,Instituciones - IPS,900958564,110013029429,2908,UNIDAD DE SERVICIOS DE SALUD CANDELARIA III,-74.14974365027156,4.568243850215439,108.0
301,KR 9 B No. 75 - 49 SUR,Instituciones - IPS,900958564,110013029431,2910,UNIDAD DE SERVICIOS DE SALUD SANTA LIBRADA I,-74.11348180994841,4.514656460417614,108.0
302,KR 10 No. 81 A - 06 SUR,Instituciones - IPS,900958564,110013029435,2914,UNIDAD DE SERVICIOS DE SALUD YOMASA,-74.1124807103278,4.508012690330578,108.0
303,CL 68 B SUR No. 9 A - 29,Instituciones - IPS,900958564,110013029437,2915,UNIDAD DE SERVICIOS DE SALUD SANTA MARTHA,-74.11648904971939,4.526397830220126,108.0
304,KR 14 B ESTE No. 74 B - 44 SUR,Instituciones - IPS,900958564,110013029438,2916,UNIDAD DE SERVICIOS DE SALUD LA FLORA,-74.08993558025114,4.5161553497873,108.0
